rqyy	的
ggll	一
jghu	是
dhfd	在
dhi	不
bnh	了
def	有
tkg	和
wwww	人
ypi	这
khk	中
dddd	大
hgd	上
ytny	为
whj	个
fpi	过
lgyi	国
trxy	我
nywy	以
fbn	地
wbn	他
svf	要
goi	来
wun	们
jfy	时
gcfj	到
tgd	生
ehk	用
wthf	作
ykiy	就
bmk	出
gfk	于
wfcu	会
cfy	对
wvr	分
dnxy	成
rhfk	年
skd	可
mgkd	同
ygd	主
bnhn	也
ntcy	发
aaaa	工
yukq	说
bbbb	子
ghi	下
cexx	能
fcet	动
tgsh	行
ute	产
dmjj	而
qqu	多
rgkd	后
yygt	方
dmjd	面
tkhh	种
ipbf	学
aftj	著
ughf	着
tjgf	得
pghu	定
ifcy	法
nav	民
rnrh	所
xcag	经
fgh	十
dggg	三
pppp	之
fjpk	进
pgeu	家
tffu	等
ukbh	部
jfd	里
ftjb	都
thd	自
fgg	二
vkg	如
gjfg	理
fhnv	起
ent	力
tayi	长
wxn	化
gmqn	现
ihty	小
oaci	度
pudu	实
hkou	点
ykmk	高
dhpi	还
ivf	当
jnv	电
ekg	加
gmww	两
wwy	从
fcu	去
tqrt	物
rcn	把
sgd	本
vbg	好
iiii	水
rmhj	制
wsgg	体
gak	开
ogd	业
tgjf	重
wgkr	使
gdi	天
qdyo	然
hxff	些
jgjf	量
uejj	前
lhng	四
ngbh	那
qhy	外
gkvh	事
pxb	它
qkf	名
wgkf	合
ldi	因
oigd	应
mhng	由
adwu	其
jjjj	日
ntgg	性
pyfg	社
yri	义
wgf	全
sugh	样
ghty	政
geu	表
swn	机
udu	关
usrh	新
gufk	平
tkf	各
shg	相
ujd	间
nyny	心
ghd	正
gngd	与
sghg	西
gaet	形
rci	反
rhf	看
jeg	明
cccc	又
tcu	么
mwi	内
wqiy	你
wjgg	但
tjh	利
uthp	道
drii	原
iwcy	没
txht	第
xxn	比
wgkb	命
ovty	数
kwu	只
xfxy	线
tmkd	向
ukd	问
ujnu	意
uhkg	站
hxn	此
akgd	或
tsu	条
fqv	无
wcu	公
rfmi	质
xfkg	结
qehg	解
ngeg	情
vgpk	建
eeee	月
shnu	想
tvey	很
yocu	变
ftjf	者
wayy	代
nnnn	已
uuuu	立
txiu	系
plj	军
jbcu	最
uaj	并
rjgh	提
ipkq	党
jghm	题
rnb	气
gghg	五
naei	展
qkeu	象
yygy	文
cehp	通
uknu	总
jsi	果
uqwy	次
kmu	员
akfj	革
itdg	活
tkgg	程
ipkh	常
udi	头
wug	位
ftxb	老
fhf	直
tyi	入
tffy	特
kkkf	品
wtgh	件
mmmm	山
mqb	见
khtk	路
giyi	求
tphn	管
byi	及
xbyy	级
ite	少
adwf	基
kejh	别
ywcy	设
aayi	式
uqwm	资
tdkg	知
xegg	组
wtn	几
rtgh	手
ywxn	论
xycq	统
ruvg	接
pei	农
puhc	被
epe	边
rxjg	指
uqfy	将
oufh	料
vtn	九
unwy	决
tfqb	先
svey	根
adwe	期
yfh	计
xkjy	强
fggh	干
hkay	战
lkd	回
yty	放
vbn	她
xwgk	给
wtfg	任
fcpi	运
wdty	做
nte	必
iyck	流
ari	区
bcy	取
uyhn	门
thi	处
rndg	据
fmuf	南
mjh	则
bwy	队
ltui	图
uxn	北
djf	百
igqb	光
ickg	治
aii	东
wksy	保
fnu	志
lywr	较
wycm	领
itxy	海
kkkk	口
agn	七
nfu	导
ymfk	调
vcbh	即
wfh	什
tfkp	造
qqqq	金
ktnn	吃
fwmq	规
qvhj	争
lnu	思
anv	世
awu	共
ywu	六
ywy	认
ywru	交
epcu	受
bwjh	阶
qcb	色
budy	联
sbyy	极
ugdu	美
iyjh	济
gjri	更
rsh	打
nty	改
gmfd	再
fulj	增
nhty	收
igeg	清
avt	切
fhwu	真
ftbt	教
fnrt	场
scy	权
pvf	安
gqe	万
syi	术
yghg	证
tmdt	身
ter	务
fhu	走
gkph	带
ufk	斗
qehj	角
ulj	单
awxb	花
hhhh	目
pfqb	完
fnr	声
rvyo	热
rbcy	报
wty	八
rrrr	白
fte	才
hwu	具
gcff	至
xtay	张
cgd	马
txu	每
ytdg	话
dpi	达
lfny	转
yyry	议
tufh	科
kkdk	器
fiu	示
dqeh	确
ytfh	许
wynb	今
wgqj	例
wysu	集
wyg	信
ynn	记
tkwy	积
vtkg	群
hhr	步
gkih	整
oygt	广
wri	风
wfny	传
lwjj	界
