AA	式
AB	工
AC	茅
AD	基
AE	散
AF	藝
AG	華
AH	緊
AI	落
AJ	萬
AK	革
AL	菌
AM	英
AN	巨
AO	蓆
AP	芝
AQ	蘇
AR	蒐
AS	苯
AT	醫
AU	蔽
AV	蕭
AW	花
AX	蘊
AY	荒
BA	聀
BB	子
BC	取
BD	隨
BE	隱
BF	陸
BG	陳
BH	阯
BI	函
BJ	陽
BK	聖
BL	陣
BM	祟
BN	也
BO	耿
BP	院
BQ	陷
BR	孤
BS	阿
BT	降
BU	職
BV	限
BW	際
BX	陛
BY	及
CA	弁
CB	牟取暴利
CC	又
CD	畚
CE	能
CF	頚
CG	驲
CH	覌
CI	厼
CJ	巴里坤
CK	邰
CL	圅
CM	岊
CN	巴
CO	馬
CP	參賽者
CQ	允
CR	巴拉圭
CS	勇攀高峰
CT	矣
CU	巴音郭楞
CV	驕嬌二氣
CW	皴
CX	又紅又專
CY	蚤
DA	左
DB	耷
DC	友
DD	大
DE	有
DF	奔
DG	三
DH	在
DI	耗
DJ	百
DK	右
DL	厙
DM	而
DN	成
DO	礦
DP	確
DQ	剋
DR	原
DS	礎
DT	故
DU	磁
DV	碌
DW	春
DX	礙
DY	太
EA	臟
EB	服
EC	肥
ED	須
EE	月
EF	毀
EG	且
EH	用
EI	膛
EJ	腸
EK	加
EL	舅
EM	興
EN	力
EO	腑
EP	愛
EQ	胸
ER	貌
ES	腰
ET	腹
EU	騰
EV	妥
EW	腳
EX	脂
EY	臍
FA	域
FB	地
FC	去
FD	城
FE	協
FF	土
FG	二
FH	起
FI	示
FJ	電
FK	喜
FL	賣
FM	南
FN	聲
FO	赤
FP	索
FQ	朮
FR	垢
FS	霜
FT	都
FU	增
FV	雪
FW	規
FX	坳
FY	裁
GA	形
GB	頓
GC	到
GD	天
GE	青
GF	于
GG	五
GH	下
GI	求
GJ	理
GK	事
GL	環
GM	麗
GN	攷
GO	璞
GP	琛
GQ	列
GR	珠
GS	末
GT	玫
GU	平
GV	妻
GW	珍
GX	互
GY	玉
HA	處
HB	齡
HC	皮
HD	非
HE	肯
HF	歧
HG	上
HH	止
HI	縣
HJ	桌
HK	乩
HL	鹵
HM	貞
HN	鼎
HO	瞇
HP	瞎
HQ	餐
HR	睥
HS	盯
HT	睡
HU	瞳
HV	眼
HW	具
HX	此
HY	眩
IA	江
IB	池
IC	滲
ID	尖
IE	肖
IF	法
IG	光
IH	小
II	水
IJ	湯
IK	潰
IL	溫
IM	油
IN	泥
IO	淡
IP	當
IQ	沒
IR	派
IS	河
IT	少
IU	洋
IV	染
IW	潑
IX	漲
IY	流
JA	暴
JB	最
JC	螞
JD	晨
JE	明
JF	時
JG	量
JH	申
JI	晃
JJ	日
JK	蟬
JL	曙
JM	遇
JN	蝦
JO	曠
JP	暈
JQ	晚
JR	蝗
JS	果
JT	昨
JU	暗
JV	照
JW	蛤
JX	顯
JY	景
KA	呀
KB	啊
KC	吧
KD	順
KE	另
KF	噴
KG	號
KH	中
KI	吵
KJ	雖
KK	嚴
KL	囉
KM	員
KN	叫
KO	嘛
KP	喧
KQ	兄
KR	史
KS	呆
KT	呼
KU	嚨
KV	嘯
KW	唸
KX	喲
KY	咬
LA	國
LB	擊
LC	罷
LD	因
LE	男
LF	點
LG	還
LH	四
LI	囦
LJ	輥
LK	迴
LL	田
LM	軸
LN	思
LO	轆
LP	連
LQ	軟
LR	暫
LS	軻
LT	轎
LU	圈
LV	數
LW	界
LX	羅
LY	較
MA	曲
MB	岌
MC	峻
MD	央
ME	骨
MF	週
MG	豈
MH	由
MI	峭
MJ	則
MK	巖
ML	嶄
MM	山
MN	過
MO	嶙
MP	迪
MQ	贍
MR	販
MS	崍
MT	敗
MU	剛
MV	岧
MW	崙
MX	幽
MY	丹
NA	展
NB	敢
NC	怪
ND	居
NE	忇
NF	屆
NG	那
NH	收
NI	尿
NJ	慢
NK	避
NL	屢
NM	刷
NN	已
NO	憐
NP	忱
NQ	懈
NR	怕
NS	慄
NT	必
NU	層
NV	恨
NW	惟
NX	慣
NY	心
OA	度
OB	籽
OC	序
OD	類
OE	粗
OF	燒
OG	對
OH	店
OI	廠
OJ	糧
OK	燥
OL	糰
OM	炯
ON	慶
OO	火
OP	迷
OQ	底
OR	煌
OS	煙
OT	庭
OU	料
OV	燼
OW	府
OX	庇
OY	米
PA	寬
PB	字
PC	宻
PD	害
PE	寫
PF	守
PG	定
PH	官
PI	宵
PJ	宴
PK	宮
PL	軍
PM	宙
PN	密
