DG	三
HG	上
GH	下
EG	且
KH	中
MY	丹
QY	久
TC	么
PP	之
VT	九
BN	也
HK	乩
GK	事
FG	二
GF	于
GX	互
GG	五
WJ	介
WB	他
WM	仙
WA	代
WO	伙
WL	佃
WU	位
WQ	低
WS	何
SW	來
WE	俘
WK	保
WY	信
WN	假
WD	做
WP	傢
WF	僥
WI	償
CQ	允
KQ	兄
YC	充
IG	光
TY	入
WG	全
WT	八
WC	公
YW	六
HW	具
UV	兼
PO	冞
PR	冟
PQ	冤
UI	冰
UP	凕
UY	凜
BI	函
VN	刀
WV	分
GQ	列
GC	到
NM	刷
MJ	則
DQ	剋
UE	前
MU	剛
EN	力
EK	加
QN	包
WX	化
UX	北
FE	協
FM	南
QG	印
VC	即
WW	卻
DL	厙
DR	原
FC	去
CI	厼
CC	又
BY	及
DC	友
BC	取
KE	另
KN	叫
SK	可
KR	史
DK	右
TK	各
QK	名
RG	后
KC	吧
KI	吵
KA	呀
KS	呆
KT	呼
KY	咬
KM	員
KW	唸
KB	啊
UK	問
FK	喜
KP	喧
KX	喲
KO	嘛
KV	嘯
KF	噴
KU	嚨
KK	嚴
KL	囉
LH	四
LD	因
LI	囦
CL	圅
LU	圈
LA	國
FF	土
DH	在
FB	地
FX	坳
FR	垢
FD	城
FA	域
AD	基
FU	增
QH	外
QQ	多
DD	大
GD	天
DY	太
MD	央
RW	失
DF	奔
VV	女
VB	好
VK	如
VI	妙
EV	妥
GV	妻
VX	姆
VM	姍
VD	姑
VL	姻
VQ	婚
VR	婢
VA	媒
VP	嫁
VU	嫌
VS	嫖
VY	孃
BB	子
PB	字
BR	孤
PF	守
PV	安
PS	宋
PH	官
PM	宙
PG	定
PT	客
PK	宮
PD	害
PJ	宴
PI	宵
PC	宻
PN	密
PX	實
PE	寫
PA	寬
OG	對
IH	小
IT	少
ID	尖
YK	就
NI	尿
ND	居
NF	屆
NA	展
NL	屢
NU	層
MM	山
CM	岊
MB	岌
MV	岧
MI	峭
MC	峻
MS	崍
MW	崙
ML	嶄
MO	嶙
MK	巖
AB	工
DA	左
AN	巨
NN	已
CN	巴
YM	市
GU	平
RH	年
MX	幽
OX	庇
OC	序
OQ	底
OH	店
OW	府
OA	度
OT	庭
OI	廠
VG	建
CA	弁
AA	式
XH	引
XU	弱
XD	張
XC	強
UM	彆
XK	彈
GA	形
TV	很
TJ	得
NY	心
NT	必
NE	忇
NP	忱
NR	怕
LN	思
NC	怪
NV	恨
UN	悶
NW	惟
EP	愛
NS	慄
NJ	慢
NX	慣
ON	慶
NO	憐
NQ	懈
DN	成
RN	所
RT	手
RS	打
RA	找
RC	把
RR	折
RU	拉
RX	指
RD	振
RV	掃
RJ	提
RQ	換
RK	損
RF	撓
RY	擁
LB	擊
RO	擴
RB	攝
RE	攪
NH	收
GN	攷
YT	放
DT	故
MT	敗
NB	敢
AE	散
LV	數
OU	料
US	新
YY	方
JJ	日
VJ	旭
JE	明
DW	春
JT	昨
JF	時
JI	晃
JQ	晚
JD	晨
UO	普
JY	景
JP	暈
JU	暗
LR	暫
JA	暴
JL	曙
JO	曠
MA	曲
VF	書
JB	最
EE	月
DE	有
EB	服
GS	末
SG	本
FQ	朮
SB	李
SF	村
SR	析
SP	枕
SS	林
JS	果
IV	染
SJ	查
SQ	柳
SV	根
ST	格
HJ	桌
SC	桶
WH	條
SE	棚
SL	楞
SX	楷
SA	模
SU	樣
SO	樸
SI	檔
QW	欠
UQ	次
HH	止
HX	此
HF	歧
EF	毀
XX	比
II	水
GI	求
IA	江
IB	池
IQ	沒
IS	河
IM	油
RI	泉
IF	法
IN	泥
IU	洋
IR	派
IY	流
IO	淡
IJ	湯
IL	溫
IC	滲
IX	漲
IW	潑
IK	潰
OO	火
VO	災
QO	炙
OM	炯
RL	無
QD	然
OR	煌
OS	煙
JV	照
OF	燒
OK	燥
OV	燼
WR	爺
TQ	物
QT	犯
YX	率
GY	玉
GT	玫
GW	珍
GR	珠
GJ	理
GP	琛
GO	璞
GL	環
UA	瓶
TG	生
YD	產
EH	用
LL	田
MH	由
JH	申
LE	男
QL	甸
LW	界
CD	畚
IP	當
UC	痛
UR	痺
DJ	百
HC	皮
CW	皴
VH	盡
HS	盯
SH	相
HY	眩
HV	眼
HT	睡
HR	睥
HO	瞇
HP	瞎
HU	瞳
CT	矣
TD	知
DV	碌
DP	確
DU	磁
DS	礎
DX	礙
DO	礦
FI	示
PY	社
BM	祟
TB	秀
TU	科
TI	秒
TR	稀
TE	稱
TA	穫
PW	空
UU	立
UH	站
TX	第
TF	等
TW	答
TL	箇
TP	管
OY	米
OB	籽
OE	粗
OJ	糧
OL	糰
XN	紀
XQ	約
XA	紅
XM	納
XG	純
XI	紗
XB	級
FP	索
SN	紮
XL	細
XE	組
XF	結
XV	絕
XW	給
XY	統
AH	緊
XR	線
HI	縣
XP	縮
XS	縹
XT	總
XO	纏
LC	罷
LX	羅
DM	而
DI	耗
DB	耷
BO	耿
BA	聀
BK	聖
UB	聞
FN	聲
BU	職
IE	肖
EC	肥
HE	肯
EQ	胸
CE	能
EX	脂
EO	腑
ES	腰
EW	腳
EJ	腸
ET	腹
EI	膛
EY	臍
EA	臟
EL	舅
EM	興
YV	良
QC	色
AP	芝
AW	花
AS	苯
AM	英
AC	茅
AY	荒
AL	菌
AG	華
AJ	萬
AI	落
AR	蒐
AO	蓆
AU	蔽
AV	蕭
AF	藝
AQ	蘇
AX	蘊
HA	處
KG	號
CY	蚤
JW	蛤
JR	蝗
JN	蝦
JC	螞
JK	蟬
TS	術
TN	衛
TT	衝
YE	衣
FY	裁
RM	製
PU	襬
CH	覌
FW	規
QE	解
YS	訂
YF	計
YN	記
YR	訴
YB	詘
YQ	詢
YI	誚
YJ	課
YH	誹
YP	誼
YO	談
YG	請
YL	謂
YU	議
YA	護
MG	豈
ER	貌
HM	貞
QM	負
MR	販
XJ	費
SM	賈
FL	賣
MQ	贍
FO	赤
FH	起
TM	身
PL	軍
LQ	軟
