aa	芽
ab	萨
ac	茎
ad	期
ae	散
af	甘
ag	戈
ah	熙
ai	范
aj	莫
ak	勒
al	莲
am	贡
an	巨
ao	薮
ap	荣
aq	敬
ar	匠
as	蘸
at	董
au	茨
av	菇
aw	茶
ax	芗
ay	蓄
ba	陈列
bb	孕
bc	盈
bd	陌
be	阻碍
bf	陡
bg	耳
bh	陟
bi	隙
bj	陧
bk	陨
bl	隈
bm	聘
bn	孔
bo	防火墙
bp	耽
bq	陶
br	隍
bs	▁
bt	孜
bu	陪
bv	限期
bw	除
bx	陛下
by	孩
ca	巯
cb	牟取暴利
cc	桑
cd	叁
ce	勇
cf	怼
cg	驻
ch	难上加难
ci	台湾问题
cj	参照物
ck	怠
cl	双鸭山
cm	观众
cn	矛
co	观摩教学
cp	观察员
cq	鸡
cr	对抗赛
cs	能歌善舞
ct	难得的
cu	对冲基金
cv	艰难
cw	逡
cx	通缉令
cy	通讯员
da	砸
db	厄
dc	码
dd	碱
de	历
df	奔
dg	石
dh	不
di	砂
dj	厘
dk	有中国特色社会主义
dl	砗
dm	布
dn	尤
do	磷
dp	牵
dq	砍
dr	爽
ds	厢
dt	邦
du	辜
dv	友好合作关系
dw	泰
dx	垄
dy	硫
ea	腊
eb	孚
ec	胫
ed	胧
ee	胁
ef	膨
eg	助
eh	腓
ei	胱
ej	刖
ek	贺
el	爵
em	爨
en	鼠
eo	脒
ep	爱
eq	脆
er	脾
es	腰
et	腹
eu	胖
ev	貂
ew	股
ex	加强了
ey	脉
fa	霸
fb	邗
fc	运
fd	坏
fe	霾
ff	款
fg	干
fh	真
fi	霄
fj	坦
fk	鼓
fl	戴
fm	坝
fn	声
fo	塘
fp	壳
fq	远
fr	圻
fs	霖
ft	者
fu	培
fv	埽
fw	零
fx	坳
fy	坑
ga	型
gb	屯
gc	致
gd	吞
ge	逐
gf	迂
gg	王
gh	正
gi	琐
gj	惠
gk	整
gl	琏
gm	再
gn	瑕
go	亚
gp	琮
gq	死
gr	瑰
gs	珂
gt	瓒
gu	颊
gv	更好地
gw	瑜
gx	毒
gy	璃
ha	虚
hb	￡
hc	眸
hd	辈
he	睬
hf	睦
hg	卡
hh	步
hi	上海市
hj	卓
hk	战
hl	战略的
hm	非同寻常
hn	眠
ho	柴米油盐
hp	眈
hq	瞻
hr	虚拟现实
hs	上述问题
ht	眨
hu	目前的
hv	眼前
hw	龄
hx	柴
hy	占主导地位
ia	洪
ib	汲
ic	泽
id	湖
ie	浮
if	潮
ig	举
ih	涉
ii	沙
ij	湿
ik	涓
il	泗
im	尚
in	漏
io	濂
ip	常
iq	渔
ir	汽
is	漆
it	海
iu	滋
iv	津
iw	涂
ix	溺
iy	注
ja	蜡
jb	最近
jc	贤
jd	晟
je	暖
jf	早
jg	题
jh	冒
ji	蛸
jj	昌
jk	蜈
jl	曼
jm	帅
jn	昵
jo	蝼
jp	蜿
jq	昂
jr	蚯
js	晒
jt	临
ju	曦
jv	昭
jw	蚣
jx	蚓
jy	蚊
ka	哄
kb	吼
kc	叹
kd	呖
ke	咖
kf	喷
kg	吨
kh	足
ki	嗨
kj	喝
kk	口
kl	嘿
km	勋
kn	哪
ko	噗
kp	咛
kq	鸣
kr	啦
ks	叮
kt	呼
ku	喑
kv	叨
kw	唯
kx	哔
ky	哼
la	轻工业
lb	墼
lc	辍
ld	恩
le	嬲
lf	围
lg	辅
lh	甲
li	圆满成功
lj	连日来
lk	辑
ll	田径
lm	Α
ln	辗
lo	国库券
lp	畹
lq	鸭
lr	堑
ls	町
lt	轿
lu	疃
lv	囡
lw	轮
lx	辔
ly	辙
ma	贼
mb	邮编
mc	峄
md	岩
me	髓
mf	赋
mg	屿
mh	贝
mi	山海关
mj	岿
mk	幅员辽阔
ml	岬
mm	册
mn	觊
mo	赕
mp	崇
mq	购
mr	冈
ms	崾
mt	账
mu	赚
mv	屶
mw	岭
mx	网络管理
my	彤
na	异
nb	慑
nc	怡
nd	怀
ne	必须是
nf	迅
ng	司
nh	眉
ni	屑
nj	悍
nk	辟
nl	愣
nm	恫
nn	己
no	屎
np	恽
nq	恂
nr	惶
ns	必要的
nt	性
nu	飞
nv	忉
nw	怜
nx	屁
ny	尽
oa	烧
ob	鬯
oc	糅
od	糊
oe	爝
of	灶
og	炳
oh	焯
oi	＋
oj	焊
ok	炽热
ol	煨
om	炯
on	麟
oo	炎
op	烷
oq	炮
or	粕
os	麻
ot	熄
ou	烂
ov	唐
ow	座
ox	庀
oy	粮
pa	塞
pb	字符
pc	宏观经济
pd	寄
pe	农业
pf	宗
pg	写
ph	逭
pi	农学院
pj	寓
pk	实践中
pl	寰
pm	穷山恶水
pn	寥
po	农业科技
pp	之一
pq	剜
pr	宾馆
ps	农村经济
pt	宪
pu	初
pv	宄
pw	容
px	它们
py	视
qa	昏
qb	锰
qc	铎
qd	铸
qe	触
qf	镇
qg	鲁
qh	钼
qi	逃
qj	龟
qk	够
ql	钾
qm	铜
qn	馆
qo	镰
qp	镓
qq	铭
qr	锦
qs	镖
qt	独
qu	锐
qv	急
qw	锻
qx	镪
qy	贸
ra	描
rb	凶
rc	择
rd	拔
re	授
rf	技
rg	皇
rh	排
ri	挡
rj	揭
rk	扣
rl	押
rm	抽
rn	据
ro	掂
rp	控
rq	抵
rr	抓
rs	刹
rt	斤
ru	撞
rv	执
rw	投
rx	拂
ry	搞
sa	横
sb	椭
sc	桶
sd	棒
se	枷
sf	材
sg	酸
sh	朴
si	榉
sj	棵
sk	歌
sl	椤
sm	栅
sn	楣
so	桩
sp	棕
sq	桃
sr	棉
ss	楚
st	梅
su	栏
sv	概
sw	松
sx	椽
sy	校
ta	彻
tb	透
tc	私
td	敌
te	船
tf	先
tg	重
th	算
ti	衍
tj	复
tk	种
tl	粤
tm	微
tn	迄
to	释
tp	稼
tq	移
tr	循
ts	牺
tt	牧
tu	乎
tv	委
tw	徐
tx	每
ty	篇
ua	冻
ub	疗
uc	冯
ud	状
ue	毅
uf	养
ug	半
uh	丫
ui	瘠
uj	章
uk	总
ul	兽
um	凋
un	翊
uo	瘘
up	决定了
uq	将
ur	前提下
us	尊
ut	首
uu	阐
uv	歉
uw	冷
ux	弟
uy	凉
va	媾
vb	奶
vc	既
vd	姑娘
ve	嫂
vf	娃
vg	姨
vh	如此等等
vi	隶
vj	剿
vk	邵
vl	邋
vm	娉
vn	娓
vo	灵活
vp	婶
vq	鸠
vr	好的方向
vs	杂志
vt	君
vu	娣
vv	妇女
vw	群众性
vx	始终坚持
vy	妨
wa	借
wb	仍
wc	凤
wd	优
we	伽
wf	传
wg	合
wh	企
wi	俏
wj	伸
wk	仲
wl	偎
wm	催
wn	追
wo	偻
wp	佗
wq	您
wr	爷
ws	休
wt	件
wu	倍
wv	伊
ww	众
wx	货
wy	今
xa	绕
xb	绌
xc	弘
xd	绑
xe	幼
xf	续
xg	缚
xh	绯
xi	颍
xj	绅
xk	绳
xl	缌
xm	绸
xn	纠
xo	缕
xp	绽
xq	纸
xr	绵
xs	结构调整
xt	乡
xu	绊
xv	纫
xw	纷
xx	毕
xy	弦
ya	诺
yb	诹
yc	弃
yd	诙
ye	诅
yf	讨
yg	证
yh	谑
yi	就没有
yj	齐
yk	识
yl	颤
ym	讷
yn	刻
yo	迹
yp	诧
yq	诋
yr	诉
ys	诃
yt	话
yu	帝
yv	郎
yw	论
yx	玄
yy	议
