ag	七
gq	万
dg	三
hg	上
gh	下
gn	与
eg	且
an	世
og	业
ai	东
wh	个
kh	中
my	丹
qy	久
tc	么
yr	义
pp	之
tn	乐
vt	九
bn	也
nu	习
qv	争
gk	事
fg	二
gf	于
gx	互
gg	五
us	亲
wj	介
ww	从
wb	他
wm	仙
wa	代
wo	伙
wf	会
wp	伫
wl	佃
wu	位
ws	体
wq	你
we	佣
wk	保
wy	信
wn	假
wd	做
wi	偿
qt	儿
cq	允
kq	兄
yc	充
ig	光
dq	克
ty	入
wg	全
wt	八
wc	公
yw	六
aw	共
ad	其
hw	具
uv	兼
mw	内
pl	军
pe	农
pq	冤
ui	冰
un	决
uw	准
bm	出
gb	击
vn	刀
wv	分
av	切
aj	划
yj	刘
mj	则
mr	刚
gc	到
rm	制
ue	前
en	力
ew	办
ae	功
ek	加
te	务
ap	劳
qu	匀
wx	化
ux	北
ar	区
fe	协
ul	单
fm	南
hk	占
hn	卢
hl	卤
bg	卫
qg	印
vc	即
ds	厅
dr	原
fc	去
cd	参
cc	又
cy	叉
by	及
dc	友
bc	取
yo	变
ke	另
kw	只
kn	叫
sk	可
ck	台
dk	右
kf	叶
kg	号
kt	吃
tk	各
qk	名
rg	后
tm	向
kk	吕
kc	吧
kr	听
ki	吵
ka	呀
ks	呆
km	员
mf	周
ky	咬
kx	哟
kb	啊
kv	啸
kl	喂
fk	喜
kp	喧
ko	嘛
ku	噫
lh	四
lk	回
ld	因
lf	团
ls	困
lt	图
lu	圈
ff	土
fb	地
fr	垢
fd	城
fa	域
fu	增
th	处
tl	备
qh	外
qq	多
dd	大
gd	天
dy	太
fw	夫
md	央
rw	失
ud	头
df	夺
dl	奋
vb	好
vk	如
vv	妇
vw	妗
ev	妥
gv	妻
vx	姆
vd	姑
vm	姗
vl	姻
vy	娘
vq	婚
vr	婢
va	媒
vp	嫁
vu	嫌
bb	子
pb	字
bi	孙
br	孤
ip	学
ps	宁
px	它
pf	守
pv	安
ph	官
pm	宙
pg	定
pu	实
pj	审
pt	客
pk	宫
pd	害
pi	宵
pa	宽
pr	宾
pn	密
cf	对
vf	寻
nf	导
ih	小
it	少
id	尖
yk	就
ni	尿
nd	居
nm	届
na	展
no	屡
mm	山
mn	岂
ms	岢
mg	峡
mi	峭
mc	峻
ml	崭
aa	工
da	左
nn	已
cn	巴
ym	市
gu	平
rh	年
ua	并
mx	幽
oy	广
of	庄
ox	庇
oc	序
oi	应
oq	底
oh	店
om	庙
ow	府
oa	度
ot	庭
vg	建
ga	开
xh	引
xt	张
xu	弱
xk	强
jv	归
iv	当
vi	录
tv	很
tj	得
ny	心
nt	必
fn	志
np	忱
nr	怕
ln	思
nc	怪
ns	怵
nv	恨
nw	惟
nl	惭
nx	惯
nj	慢
nq	懈
ca	戏
dn	成
ak	或
rt	手
ft	才
rs	打
ro	扩
ra	找
rc	把
rr	折
ry	护
rb	报
ru	拉
rx	指
rd	振
rk	损
rq	换
rj	提
rl	摆
re	摇
nh	收
at	攻
yt	放
dt	故
nb	敢
ov	数
uf	斗
ou	料
lr	斩
on	断
yy	方
fq	无
jj	日
hj	旧
qj	旬
vj	旭
jf	时
jx	昆
je	明
dw	春
jt	昨
jo	显
ji	晃
jp	晕
jq	晚
jd	晨
uo	普
jy	景
ju	暗
ja	暴
jl	曙
ma	曲
jb	最
ee	月
eb	服
gs	末
sg	本
sy	术
ri	朱
sw	机
vs	杂
sc	权
sb	李
sf	村
ts	条
go	来
sn	杨
so	杰
sq	构
sr	析
sp	枕
ss	林
js	果
sj	查
su	样
sv	根
st	格
si	档
se	棚
sl	楞
sx	楷
sa	模
qw	欠
uq	次
hh	止
hx	此
hf	歧
ea	毁
xx	比
rn	气
ii	水
gi	求
ic	汉
ia	江
ib	池
iq	沟
iw	没
is	河
im	油
if	法
in	泥
iu	洋
ir	派
iy	流
ix	涨
io	淡
il	渐
ij	温
ik	溃
oo	火
os	灯
vo	灵
po	灾
qo	炙
oj	烛
ol	烟
rv	热
qd	然
or	煌
ok	燥
ah	牙
tq	物
yx	率
gy	玉
gm	现
gw	珍
gr	珠
gj	理
gp	琛
tg	生
eh	用
ll	田
mh	由
jh	申
jn	电
le	男
ql	甸
gl	画
lw	界
uc	痛
dj	百
hc	皮
fx	盏
hs	盯
sh	相
hy	眩
ho	眯
hv	眼
ug	着
ht	睡
hr	睥
hp	瞎
hi	瞠
hu	瞳
ct	矣
td	知
do	矿
dv	碌
du	磁
fi	示
py	社
tb	秀
to	秋
tu	科
ti	秒
tr	稀
pw	空
uu	立
uh	站
um	端
tt	笔
tx	第
tf	等
tw	答
tp	管
od	类
ob	籽
oe	粗
jc	紧
lx	累
xa	红
xq	约
xb	级
xn	纪
xg	纯
xi	纱
xm	纲
xf	线
xe	组
xl	细
xc	经
xw	给
xy	统
xo	继
xv	绿
xs	缥
xp	缩
xr	缴
lq	罗
la	羁
di	耗
bh	耻
bo	耿
bk	职
bu	联
vh	肀
ie	肖
ec	肥
he	肯
ej	胆
et	胜
de	胡
eq	胸
ce	能
ex	脂
eo	脏
ey	脑
ef	脚
eu	脱
ei	膛
el	舅
yv	良
cv	艰
qc	色
ab	节
ac	芭
ay	芳
al	苗
as	苛
ax	药
aq	获
af	著
au	蒋
ao	蔗
ha	虑
kj	虽
jw	蛤
jk	蝇
jr	蝗
ye	衣
ge	表
fy	裁
mq	见
cm	观
em	觅
qe	解
yf	计
ys	订
yh	让
yn	记
yb	诎
yd	诚
yq	询
yi	诮
yu	说
yg	请
ya	谋
yl	谓
er	貌
hm	贞
qm	负
mt	败
rf	质
xj	费
sm	贾
mo	赃
mu	赠
fo	赤
fh	起
lg	车
lv	轨
lm	轴
lc	轻
fl	载
ly	较
lb	辄
lj	辊
lo	辘
ep	边
dp	达
fp	过
qb	迎
rp	近
dh	还
yp	这
fj	进
lp	连
mk	迥
mp	迪
op	迷
ve	退
jm	遇
ut	道
nk	避
cb	邓
ng	那
mb	邮
es	采
jg	量
qs	钉
qf	钱
qr	铁
qi	销
qa	错
qp	锭
qx	锴
ta	长
uy	门
uk	问
uj	间
ub	闻
bw	队
bj	阳
be	阴
bl	阵
bs	阿
bf	际
ba	陈
bt	降
bv	限
bx	陛
bp	院
bd	随
bq	隐
cw	难
fv	雪
fs	霜
hd	非
dm	面
sd	顶
xd	顷
kd	顺
ed	须
db	顾
wr	风
hq	餐
qn	饭
cg	马
me	骨
gt	麦
am	黄
dx	龙
