AAA	工
AAB	戒除
AAD	匿
AAE	勤勤懇懇
AAF	苷
AAG	戒毒
AAH	芽
AAI	工党
AAJ	剗
AAK	戒
AAL	盞
AAM	蘣
AAN	葉
AAO	工序
AAP	工運
AAQ	苉
AAR	芭蕾舞
AAS	工棚
AAT	蘙
AAU	戔
AAV	苆
AAW	匶
AAX	警戒線
AAY	式
ABA	若隱若現
ABC	菆
ABD	䔺
ABE	蘟
ABF	茸
ABG	蔯
ABH	邛
ABI	蒸
ABK	莻
ABL	䓝
ABM	茁
ABN	芤
ABO	臨陣磨槍
ABR	艿
ABT	蓀
ABU	薩
ABV	匜
ABW	蔭
ABY	芨
ACA	匥
ACB	芭
ACC	蔘
ACD	英勇奮鬥
ACE	蓪
ACF	茅臺
ACG	戎馬一生
ACH	英勇獻身
ACI	茅台酒
ACK	苔
ACL	䓿
ACN	茅
ACO	世態炎涼
ACP	醫務室
ACR	勤務兵
ACS	難能可貴
ACT	戎馬生涯
ACU	英勇善戰
ACW	荾
ACY	芆
ADA	蔵
ADB	苊
ADC	蕻
ADD	藞
ADE	戎
ADF	苦
ADG	葳
ADH	茬
ADI	藉
ADJ	菴
ADK	若
ADL	基因
ADM	項
ADN	藏
ADO	甚廣
ADP	荙
ADQ	基金
ADR	蒝
ADS	基本
ADT	藶
ADU	芖
ADV	基建
ADW	基
ADX	茂
ADY	莽
AEA	功臣
AEB	菔
AEC	萉
AED	蕦
AEE	荔
AEF	巭
AEG	苴
AEH	苚
AEI	散光
AEJ	薶
AEK	茄
AEL	醫學界
AEM	虋
AEN	散居
AEO	功底
AEP	蕣
AEQ	萖
AER	藐
AES	菜
AET	功
AEU	蕂
AEV	荽
AEW	萸
AEX	蒵
AEY	功率
AFA	蕡
AFB	邯
AFC	蓋
AFD	甘
AFE	蘎
AFF	芏
AFG	七十五
AFH	蒖
AFI	蒜
AFJ	芉
AFK	薹
AFL	蕾
AFM	貳
AFN	芌
AFO	䓇
AFP	荸
AFQ	芫
AFR	七十年代
AFS	某
AFT	著
AFU	蓻
AFV	七十九
AFW	芙
AFX	區域經濟
AFY	弍
AGA	華
AGB	芚
AGC	荎
AGD	菾
AGE	莆
AGF	芋
AGG	七一
AGH	廿
AGI	莍
AGJ	蕙
AGK	蔌
AGL	薑
AGM	黃
AGN	七
AGO	區政府
AGP	巧家
AGQ	葬
AGR	戒毒所
AGS	茉
AGT	廾
AGU	葬送
AGV	莖
AGW	蕐
AGX	荑
AGY	匤
AHA	蘆
AHB	監聽
AHC	賢能
AHD	菲
AHE	貢獻力量
AHF	芷
AHG	菽
AHH	蘋
AHI	芷江
AHJ	蘋果
AHK	熙
AHL	蓾
AHM	牙雕
AHN	緊
AHO	蔝
AHP	雅安
AHQ	莧
AHR	堅持
AHS	緊要
AHT	牙
AHU	邪道
AHV	工具書
AHW	藈
AHX	茈
AHY	某些方面
AIA	茳
AIB	匯聚
AIC	菭
AID	落成
AIE	菹
AIF	蔆
AIG	薄
AIH	菠
AII	莎
AIJ	蕩
AIK	藻
AIL	薀
AIM	落网
AIN	薄情
AIO	落座
AIP	莐
AIQ	萢
AIR	蒎
AIS	菏
AIT	落
AIU	汞
AIV	菬
AIW	匯
AIX	薄弱
AIY	茫
AJA	蓽
AJB	蕞
AJC	萬能
AJD	莫
AJE	萌
AJF	昔
AJG	萬一
AJH	㓚
AJI	划清
AJJ	菖
AJL	蔓
AJM	萬
AJN	臨時性
AJO	草料
AJP	逪
AJQ	葛
AJR	斮
AJS	菒
AJT	葃
AJU	邁開
AJV	郾
AJW	鵲
AJX	菎
AJY	草率
AKA	勤苦
AKB	葺
AKC	勤務
AKD	叵
AKE	莂
AKF	革
AKG	勤
AKH	匱
AKI	苦口婆心
AKJ	或是
AKK	觀
AKL	觀眾
AKM	蒷
AKN	勤快
AKO	鞭炮
AKP	其中之一
AKQ	勤勉
AKR	觀看
AKS	切中要害
AKT	鞭策
AKU	燕
AKV	區劃
AKW	荶
AKX	韁繩
AKY	燕京
ALA	蔮
ALB	蘻
