GGL	一
SGH	丁
GNV	丂
AGN	七
DGT	丆
DGG	三
HGD	上
GHI	下
GJK	丌
DHI	不
GHN	丐
EGD	且
ANV	世
GKG	丗
RGD	丘
GMW	丙
BIG	丞
GCU	丟
UXG	丠
GJA	丣
HHL	丨
NHK	丩
UHK	丫
KHK	中
NJH	丱
KKH	串
KKJ	丳
YYL	丶
UYT	丷
MYD	丹
YGD	主
FJY	丼
RTY	乂
NYI	乄
QYI	久
NWI	乆
TAV	乇
TCU	么
TUR	乊
PPP	之
TPU	乏
RGT	乒
RGY	乓
RFM	乕
TFU	乖
TUX	乘
NNL	乙
NNV	乜
VTN	九
TNB	乞
TUN	乥
HKN	乩
NLD	乪
EKN	乫
DNB	乭
EBN	乳
RRN	乴
BXI	乸
IYG	乼
EXI	乿
QJJ	亀
ECM	亂
QHJ	亇
GUV	亊
GKV	事
FGG	二
GSJ	亍
GFK	于
FNV	亐
GXG	互
FJJ	亓
GGH	五
FJK	井
HXF	些
GKJ	亜
GFG	亞
BKC	亟
YNV	亡
YWB	亢
YJJ	亣
YWR	交
YOU	亦
YKI	京
YKP	亮
YKJ	亯
YJI	亰
YWJ	亱
WNV	亾
WFH	什
WFG	仁
WSH	仃
WVN	仇
WWY	仈
WWN	仉
WYN	今
WJJ	介
WWU	仌
WBT	仍
WCY	仏
WFJ	仐
WUU	仒
WBG	仔
WBN	他
WFY	付
WMH	仙
WMJ	仚
WTA	仛
WAG	仜
WAF	仝
WVY	仞
WTN	仡
WYC	令
WIY	仦
HGW	仧
WTC	仫
WIT	仯
WQB	仰
WEG	仴
WTG	件
WTF	任
WWV	份
WGX	仾
WWC	伀
WHF	企
WXH	伄
WGB	伅
WQR	伆
WVT	伊
WBY	伋
WDB	伌
WGG	伍
WFC	伎
WDY	伏
WAY	伐
WSY	休
WRH	伒
WFW	伕
WDC	伖
WOY	伙
WLH	伡
WAH	伢
WMQ	伣
WQU	伨
WYY	伩
WVC	伮
WRG	伯
WDG	估
WWI	伱
WNX	伲
WAN	伳
WJH	伸
WNG	伺
WGU	伻
WNY	似
WEK	伽
WKW	伿
WCK	佁
WGH	佂
WLG	佃
WJG	但
WPS	佇
WDM	佈
WHC	佊
WVK	佋
WHX	佌
WUG	位
WQA	低
WDA	佐
WMD	佒
WHK	佔
WSK	何
WPX	佗
WRW	佚
WTH	作
WFV	佞
WTU	佟
WWM	佡
WHG	佧
WQN	佨
WLK	佪
WTK	佫
WFT	佬
WFF	佳
WUA	併
WVE	佷
WUQ	佽
WGK	使
WGA	侀
WOT	侂
WQQ	侈
WDF	侉
WIG	侊
WGQ	例
WRI	侏
WPV	侒
WMG	侗
WPT	侘
WAA	侙
WQJ	侚
WAW	供
WTE	侜
WYE	依
WSG	価
WTX	侮
WNT	侯
WVP	侵
WKT	侶
WFP	侼
WLE	侽
WGJ	便
WEV	俀
WKN	俁
WKH	促
WTR	俄
WGI	俅
WQT	俇
WCW	俊
WKC	俋
WWE	俎
WIE	俏
WTJ	俐
WCE	俑
WPF	俒
WGV	俓
WHQ	俔
WEB	俘
WRD	俙
WJF	俚
WKS	保
WCT	俟
WYG	信
WUX	俤
WHW	俱
WEC	俷
WDJ	俺
WRT	俾
WHA	俿
WPQ	倇
WLD	個
WPH	倌
WUK	倍
WGC	倒
WOO	倓
WNB	倔
WFU	倖
WEE	倗
WIM	倘
WHN	候
WDS	倚
WMF	倜
WAJ	借
WYT	倣
WPW	倥
WUD	倦
WND	倨
WEQ	倪
WWG	倫
WHJ	倬
WTV	倭
WJS	倮
WJX	倱
WES	倸
WBB	倻
WUV	倿
WAM	偀
WEM	偁
WUE	偂
WNH	假
WJQ	偈
WNU	偋
WAD	偌
WUT	偐
WWT	偑
WXX	偕
WDT	做
WYK	停
WSV	偠
WTO	偢
WUS	偤
WVG	健
WDQ	偧
WQM	偩
WKB	偮
WLN	偲
WHM	偵
WJM	偶
WHV	偼
WEH	傁
WGE	傅
WDR	傆
WAB	傇
WKM	傊
WCO	傌
WYU	傍
WEX	傒
WWW	傘
WAT	備
WJN	傝
WPG	傢
WFL	傤
WME	傦
WCC	傪
WMW	催
WOV	傭
WTW	傱
WGM	債
WTL	傻
WXD	傾
WLV	僂
WSF	僄
WAK	僅
WLP	僆
WNW	僇
WJL	僈
WSD	僊
WLT	僌
WQK	像
WTD	僑
WOG	僕
WDU	僚
WET	僞
WEP	僢
WUL	僧
WFA	僨
WOQ	僯
WSQ	僲
WSO	僳
WGL	僵
WXG	僶
WSS	僸
WSM	價
WNK	僻
WPA	僿
WMA	儂
WUJ	億
WAQ	儆
WQD	儋
WRY	儌
WOB	儍
WFD	儒
WFN	儔
WXT	儗
WVH	儘
WAL	儚
WRL	儛
WPN	儜
WGW	儞
WIP	償
WLL	儡
WOA	儣
WJA	儤
WON	儦
WDE	優
WAE	儰
WYF	儲
WLX	儸
WKK	儼
GQV	兀
CQB	允
FQB	元
KQB	兄
YCQ	充
QII	兆
RBQ	兇
TFQ	先
WCQ	兊
WKQ	兌
QKQ	免
TKQ	兎
HJQ	児
EQB	兒
FQC	兘
DQF	兙
DQT	兛
DQD	兢
TYI	入
WGF	全
GMH	兩
WTY	八
WCU	公
YWU	六
WGN	兮
UBJ	兯
AWU	共
GWU	兲
RGW	兵
HWU	具
MAW	典
ULA	兾
URV	兿
UXL	冀
MHN	冂
DMB	冇
MFD	冉
MAK	冊
MKD	冋
GMF	再
MWK	冏
JEF	冐
JHF	冒
PYN	冖
PQV	冘
PMJ	冚
POU	冞
PRX	冟
PFE	冡
PBC	冣
PQK	冤
PJY	冥
PSS	冧
UYG	冫
DUU	冭
UIY	冰
UAH	冴
UCK	冶
UWY	冷
UTF	冼
UGQ	冽
UVG	冿
UQK	凂
USW	凇
UEV	凈
UMF	凋
UQG	凎
UMG	凒
UPJ	凕
UMW	凗
ULF	凙
UYL	凜
UXT	凝
UTA	凞
UFL	凟
WYI	凡
TWV	凢
NWV	凥
WSI	凩
WHD	凪
FBK	凷
HNM	凹
IBK	凼
BIB	函
VNT	刀
NGD	刁
JHH	刂
VYI	刃
VWI	刅
WVR	分
AVT	切
RJH	刈
TNJ	刉
FJH	刊
TDJ	刋
QRJ	刎
MYJ	刐
FQJ	刓
NWJ	刔
EJH	刖
GQJ	列
XJJ	刜
PUV	初
EGJ	刞
VKJ	刟
CKJ	刣
KQJ	別
FCJ	刦
FCV	刧
TJH	利
MAJ	刪
GJG	刯
FJV	刱
FFJ	刲
DFN	刳
BSJ	刴
BJH	刵
NMH	刷
UDV	券
GMI	刺
YNT	刻
GUD	刾
WSJ	剁
MJH	則
KEJ	剈
IEJ	削
DQJ	剋
UEJ	前
RSY	剎
UAV	剏
UKJ	剖
AAJ	剗
MUM	剛
XGI	剝
OOJ	剡
GEY	剢
GKL	副
PDH	割
UTT	剷
HAG	劇
YUH	劑
QKX	劖
ENT	力
ENN	劜
AET	功
EKG	加
RET	劤
EGE	助
VCE	努
FCE	劫
RWE	劮
DET	劯
FFE	劸
DQE	勀
GVA	勁
FPB	勃
UDB	勌
UKE	勏
BLE	勐
CNH	務
KME	勛
OOP	勞
GME	勣
AKG	勤
TGL	勳
DAJ	勵
QTN	勹
QFD	勻
QVV	勼
QWI	勽
QCI	勾
QRE	勿
QRI	匁
QXV	匂
QNV	包
QRY	匆
QQI	匇
QRB	匈
QGU	匉
QOI	匊
QDJ	匎
QGK	匐
QVC	匓
XTN	匕
WXN	化
UXN	北
ABV	匜
AMH	匝
ARK	匠
ALK	匣
AGY	匤
ACA	匥
AIW	匯
AKH	匱
AAW	匶
AQV	匹
AAD	匿
FGH	十
NFK	卂
GKK	卅
VFJ	卆
TFJ	午
FAJ	卉
UGK	半
FAF	卋
GLK	卌
NHG	卍
YWW	卒
HJF	卓
FEE	協
FMU	南
ILJ	単
FGE	博
YHU	卞
KHY	卟
HGH	卡
HMN	卣
HLR	卥
BNH	卩
QBH	卬
QDB	危
VCB	即
QQB	卶
RHB	卸
WWK	卻
SWI	厀
QDR	厃
DTA	厇
DFK	厈
DDX	厐
DKX	厑
DRM	厒
DGC	厔
DDN	厖
DLK	厙
DJB	厚
DKR	厛
DTF	厜
DRI	原
DUB	厥
DGQ	厫
DJT	厬
DIM	厰
IDN	厳
CNY	厶
CCY	厸
VCU	厹
FCU	去
CIU	厼
GMC	叀
CCC	參
BYI	及
DCU	友
RCI	反
NHC	収
TDC	叐
HGI	叔
BCY	取
EPC	受
UGR	叛
POC	叜
FCB	叝
EHC	叟
DGH	古
QKD	句
KER	另
KVR	叧
KVT	叨
KBH	叩
KNH	叫
VKF	召
KWY	叭
KSH	叮
SKD	可
KXN	叱
KRI	史
DKF	右
AKD	叵
NGK	司
KET	叻
BKF	叾
KAG	叿
TKF	各
KKG	吅
KXY	吆
KBG	吇
FKF	吉
KFY	吋
MGK	同
QKF	名
RGK	后
GKR	吏
KFG	吐
KUH	吖
YKF	吝
GDK	吞
KDY	吠
NKF	吢
KNY	吣
KWJ	吤
DHK	否
KCN	吧
KWV	吩
KWX	吪
KYW	吭
KCQ	吮
KDC	吰
KFC	吱
KXH	吲
KND	吳
KIT	吵
KMT	吶
KNW	吷
KBY	吸
KQW	吹
KQR	吻
KBN	吼
KTG	吽
GKF	吾
KAH	呀
KQU	呁
KDB	呃
BDF	呄
KYY	呅
KSU	呆
IKF	呇
KGF	呈
KFW	呋
KUF	呌
KTY	呚
KYX	呟
KNN	呡
KNX	呢
KXE	呦
KQA	呧
KKQ	呪
KLG	呬
KGU	呯
HXK	呰
KRC	呱
KFI	味
KQK	呴
KSK	呵
KLH	呷
KRW	呹
KJH	呻
KTU	呼
KJG	呾
KEG	咀
KAM	咂
KWB	咃
KBM	咄
UKF	咅
KQN	咆
KXJ	咈
TKG	和
KCK	咍
THK	咎
KRS	咑
KKW	咒
KDG	咕
KEK	咖
KDA	咗
KPX	咜
KGA	咞
KBF	咠
KIG	咣
KGC	咥
KGX	咦
KGQ	咧
KOY	咪
NYK	咫
KTK	咯
KUD	咲
KYN	咳
KDO	咴
KTD	咶
KQI	咷
KPV	咹
KWS	咻
YKE	哀
KKK	品
KSG	哂
KMG	哃
KQQ	哆
KFF	哇
KWG	哈
FKX	哉
KDE	哊
KFB	哋
KRE	哌
KAR	哎
KVE	哏
KXW	哛
KMU	員
KDN	哤
SKS	哥
KTR	哦
KIE	哨
KJF	哩
KNG	哪
RRK	哲
KKE	哵
KEV	哸
KEB	哹
KGE	哺
KGJ	哽
KUK	哾
KTB	唀
KYG	唁
KMY	唄
KCW	唆
KKC	唈
KCT	唉
KPF	唍
KTJ	唎
KRD	唏
OVH	唐
KWW	唑
KRF	唕
DCK	唘
KQT	唙
KVP	唚
FCK	唟
KRA	唣
KII	唦
KVC	唧
KBE	唨
KTV	唩
KDW	唪
KQG	唫
KNM	唰
KJJ	唱
KEQ	唲
KYC	唷
KUV	唼
KSR	唽
KTF	唾
KMF	啁
YUM	商
KBS	啊
KES	啋
UKD	問
KGV	啑
KNB	啒
YNA	啔
KQE	啗
KPQ	啘
YNK	啟
KRH	啣
KRT	啤
KWF	啥
KRU	啦
KRR	啪
KLQ	啰
KRQ	啲
KIH	啵
KYV	啷
KYU	啼
KTO	啾
KPT	喀
KJM	喁
KFM	喃
UGU	善
KJU	喅
KWN	喉
KAN	喋
KKY	喌
KMN	喎
KSV	喓
KSD	喖
KPL	喗
KMD	喘
KXG	喙
KQM	喚
KJQ	喝
KRX	喞
KLE	喟
KOA	喥
KPG	喧
KUT	喭
KDJ	喱
KXQ	喲
KSJ	喳
KAL	喵
KDF	喹
KWT	喺
KQV	喼
KVK	嗈
KEE	嗋
KUW	嗌
KUB	嗍
KCO	嗎
KPD	嗐
KCC	嗓
KFH	嗔
KEH	嗖
KEX	嗘
KFT	嗜
KUX	嗞
KUG	嗟
EBT	嗠
KWC	嗡
KJL	嗢
KMA	嗣
KFP	嗦
EKW	嗧
KIM	嗩
KAW	嗬
KJS	嗮
KLD	嗯
KWL	嗰
KWR	嗲
KCE	嗵
KJA	嗶
KLP	嗹
KMW	嗺
KGK	嗽
KKN	嘂
KOV	嘃
KGM	嘈
KSF	嘌
KLV	嘍
KDH	嘎
DNH	嘏
KLA	嘓
KGH	嘕
KOS	嘛
KSW	嘜
KAK	嘞
KPN	嘧
KVO	嘨
KLM	嘪
KQD	嘫
KJB	嘬
KOO	嘮
KVF	嘯
KXX	嘰
KFJ	嘲
KHX	嘴
KAD	嘶
KRL	嘸
KDU	嘹
KFK	嘻
KLF	嘿
KUS	噂
KUL	噌
KKA	噐
KOQ	噒
ETN	噕
KOG	噗
KVA	噚
KFU	噠
KTM	噢
KSS	噤
KKD	器
KUJ	噫
KTA	噬
KRY	噭
KEP	噯
KFA	噴
KAJ	噶
KGB	噸
KPA	噻
KNK	噼
KLI	嚃
KFD	嚅
KAY	嚆
KFO	嚇
KFN	嚋
KVH	嚍
KIP	嚐
KPW	嚓
KQO	嚕
KHB	嚙
KTQ	嚟
KQY	嚠
KDT	嚦
KUE	嚨
KUQ	嚪
KMM	嚶
KYK	嚷
KRM	嚹
KLU	嚺
KEL	嚼
KBB	囁
KYR	囄
KAF	囈
KLX	囉
GKH	囊
KAQ	囌
KNI	囑
KAU	囒
KTL	囖
MNV	囘
MNG	囙
LWI	囚
LCI	囜
LBD	囝
LDI	因
LVD	囡
LFI	団
LGB	囤
LII	囦
MWM	囧
LFC	囩
TLR	囪
LQR	囫
MJD	囬
LWX	囮
LGD	囯
LUR	図
LWF	囶
LTI	囷
LDD	固
LCK	囼
LDE	囿
LYD	圁
CLU	圅
LUD	圈
LAK	國
LMD	圌
LNK	圍
LCM	圎
LLY	圐
LFK	園
LKM	圓
LCF	圗
LWD	圙
LLG	圜
LYX	圝
FYI	圡
FHY	圤
DFD	圧
DHF	在
FGF	圩
FTN	圪
FTA	圫
FFF	圭
FNN	圯
FBN	地
FKH	圳
FMH	圸
FRH	圻
FQR	圽
FBY	圾
FWJ	圿
FRC	坂
FFQ	坃
FWC	坄
FTY	坆
FQU	均
FPW	坈
FGB	坉
FYT	坊
FWV	坋
WVF	坌
FQW	坎
WWF	坐
FYW	坑
XXF	坒
IFF	坔
FQF	坖
FGX	坘
GVF	坙
FHC	坡
FEG	坥
FJG	坦
FDG	坧
FGU	坪
FHK	坫
FNX	坭
FDH	坯
FMK	坰
FMD	坱
FXJ	坲
FXE	坳
FXY	坶
FSK	坷
FDC	坺
FQA	坻
FRY	坼
FPS	坾
FTU	垀
FTD	垁
TFA	垂
FUG	垃
FDX	垅
FMG	垌
FTK	垎
FVG	垏
FQQ	垑
FYN	垓
FQI	垗
FWD	垘
FWS	垛
FBS	垜
FPT	垞
FVE	垠
FRG	垢
FGJ	垣
FGC	垤
FWG	垥
FUA	垪
FDP	垯
FPV	垵
FEB	垺
FMY	垻
IRF	垽
FOC	垿
FMW	埁
FCT	埃
BYF	埅
FQE	埆
FCW	埈
FDW	埉
MIF	埊
FYV	埌
FDN	城
FTH	埏
RRF	埑
FEF	埒
FKG	埕
FWN	埠
FUD	埢
FRT	埤
FPQ	埦
FQV	埩
FIM	埫
FVI	埭
FOO	埮
FDJ	埯
FES	埰
FJQ	埸
FUK	培
ADW	基
FDS	埼
FVP	埽
BCF	埾
FJS	堁
YYF	堃
FYC	堉
FLD	堌
FQK	堍
FFW	堎
FJX	堒
FVT	堖
FSF	堙
FPL	堚
FGL	堜
FMN	堝
FAN	堞
FXG	堟
FWK	堢
FJM	堣
FXX	堦
FNG	堩
FAD	堪
FRB	堫
FFT	堵
FDA	堶
FWT	堸
FLW	堺
FLG	堽
LIF	塁
FAY	塃
FLY	塄
FYO	塆
FIW	塉
FRQ	塊
FJN	塌
UBT	塑
FPJ	塓
FAW	塔
IWG	塗
FOV	塘
FXH	塡
IKG	塣
FKM	塤
FGK	塥
FUW	塧
FFH	填
FDR	塬
FTM	塮
FME	塴
FON	塶
FHL	塷
LRF	塹
FLV	塿
FNI	墀
FJL	墁
FUJ	境
FAQ	墆
FCC	墋
RXA	墍
FIV	墚
FUL	增
FHA	墟
FWX	墢
FOG	墣
FTO	墦
FUS	墫
BXG	墬
FSJ	墰
FRL	墲
FAG	墷
NKU	壁
FYL	壇
FFL	壊
FIP	壋
FTG	壎
FAH	壏
DJE	壓
FFD	壖
FVH	壗
FOA	壙
FUQ	壛
FUE	壠
FBX	壣
FYK	壤
FDL	壥
FFA	壩
FYX	壪
TFD	壬
FBJ	壭
FPG	壹
FPF	壺
FNA	壽
FLL	夁
TOU	夈
YOT	変
DHT	夏
DHH	夒
QHY	外
QQU	多
VQU	夛
YWT	夜
QQF	夡
ALP	夢
YCL	夣
JSQ	夥
GNY	夨
GDI	天
DYI	太
TDI	夭
MDI	央
DER	夯
DJJ	夰
RWI	失
DFJ	夲
DDY	夶
GXW	夷
DKJ	夼
DCB	夿
DJN	奄
DSK	奇
DFI	奈
FFG	奊
HKD	奌
DFF	奎
DWG	奏
DHV	契
DQQ	奓
DFA	奔
YOD	奕
DDC	套
CDJ	奙
EXD	奚
DFT	奢
GDJ	奣
TMT	奧
UEF	奨
DAK	奩
DWY	奪
DDJ	奭
VVV	女
VCY	奴
VSH	奵
VBT	奶
VBN	她
VVG	奻
VTA	奼
VBG	好
VMH	奾
VYV	奿
NVG	妀
VQY	妁
VKG	如
VNN	妃
VAG	妅
VTF	妊
VGA	妍
VWJ	妎
VYY	妏
VWC	妐
VFC	妓
VKH	妕
VWY	妗
VIT	妙
VDH	妚
VNW	妜
JVF	妟
VMW	妠
VRH	妡
VXX	妣
EVF	妥
VFQ	妧
VYT	妨
VDC	妭
VNX	妮
VMG	妯
VVK	妱
VJG	妲
QBV	妴
VYX	妶
VRW	妷
VSK	妸
VFI	妹
VGS	妺
GVH	妻
VJH	妽
UVF	妾
EKV	妿
VTY	姀
VTP	姂
VUG	姅
VXY	姆
VGM	姉
VCK	始
VMF	姌
VMA	姍
VMD	姎
VEG	姐
VDG	姑
VNY	姒
VTG	姓
TVF	委
HXV	姕
VAN	姖
VUA	姘
VWT	姙
