aaa	工艺
aab	工薪阶层
aad	匞
aaf	甙
aag	工整
aah	工具
aai	工艺流程
aaj	蒸蒸日上
aak	工艺品
aam	蘳
aan	草草收场
aao	工序
aap	切切实实
aaq	匿名
aar	熙熙攘攘
aas	工棚
aat	工程
aau	蕴藏着
aav	苆
aaw	工人
aax	花花绿绿
aay	工商
abb	2
abc	菆
abd	䔺
abe	蘟
abf	芓
abh	卭
abi	荪
abj	节日
abk	莻
abm	䔜
abn	蒸发
abp	2
abr	菰
abs	2
abt	㲨
abu	节前
abw	节余
aby	节育
aca	茅草
acb	节能降耗
acc	蔘
acg	戎马一生
ach	2
aci	七台河
acj	2
ack	葈
acm	2
acn	蓣
acp	2
acr	2
acs	2
act	英勇行为
acu	英勇善战
acv	2
acx	2
ada	巨大贡献
adb	期限
adc	茇
add	基础研究
ade	葫
adf	萘
adg	甚至
adh	茬
adi	藕
adj	巨大影响
adk	惹
adm	蒇
adn	基层
ado	甚广
adp	其实
adq	茂名
adr	勘探
ads	勘查
adt	基础科学
adu	蕨
adv	基础建设
adw	其
adx	茏
ady	基础设施
aea	功劳
aeb	莩
aec	萉
aed	雅加达
aee	蒯
aef	菜地
aeg	散开
aeh	落脚点
aei	散漫
aej	﨟
aek	功勋
aem	虋
aen	散居
aep	苏军
aeq	萖
aer	艻
aes	芝加哥
aet	㣉
aeu	菜单
aew	萸
aex	蒵
aey	苏州
afa	东城区
afb	敬老院
afc	芰
afd	薷
afe	贡献力量
aff	葑
afg	莫过于
afh	蒖
afi	劳动法
afj	或者是
afk	薣
afl	七十四
afm	区域网
afn	蓬勃发展
afo	䕋
afp	劳动密集型
afq	芫
afr	蓬勃的
afs	劳动模范
aft	蓍
afu	某部
afv	七十九
afw	菱
afx	劳动强度
afy	黄土高原
aga	莱芜
agb	芚
agc	菿
agd	七大
age	菁
agf	七十
agg	七万
agh	蔫
agi	莍
agj	苹果
agk	荳
agl	共青团中央
agm	颟
agn	匚
ago	区政府
agp	葬礼
agq	薤
agr	匪夷所思
ags	莱西
agt	董事长
agu	荚
agv	巧妙
agw	巧合
agx	䓯
agy	荆州
aha	卧式
ahb	2
ahc	2
ahd	匪
ahe	2
ahf	苜
ahg	邪恶
ahh	欺上瞒下
ahk	㐄
ahl	蓾
ahm	2
ahn	臣
aho	蔝
ahp	雅安
ahq	萈
ahs	2
aht	雅
ahu	2
ahv	2
ahw	藈
ahx	䓱
ahy	某些方面
aia	蕖
aib	医学院
aic	落汤鸡
aid	荣誉感
aie	薄膜
aif	落地
aig	萍
aih	落点
aii	莎
aij	节省时间
aik	落叶
ail	范围
aim	落网
ain	荧光屏
aio	藻类
aip	东宁
aiq	茫然
air	落后
ais	东西
ait	藩
aiu	䒕
aiv	葏
aiw	范例
aix	东经
aiy	蒗
aja	草药
ajb	划出
ajc	2
ajd	幕
ajf	䒤
ajg	䕎
ajh	㓚
ajj	昔日
ajk	2
ajl	蓝图
ajm	䘍
ajn	草书
ajp	划定
ajq	鹊
ajr	划拨
ajs	蓝本
ajt	蔓延
aju	斯里兰卡
ajv	莫如
ajw	募集
ajx	䒶
ajy	草率
akb	蕺
akc	共患难
akd	戓
ake	莒县
akf	勒
akg	或
akh	蒉
aki	勤学
akj	勒紧
akk	萼
akm	鞍山
akq	勤勉
akt	鞭策
aku	革新
akv	2
akw	勤俭
akx	2
aky	燕京
ala	莲花
alb	匣子
alc	藣
ald	茵
ale	莮
alf	薯
alg	世界政治多极化
alh	世界眼光
ali	世界潮流
alj	世界时
alk	茴
all	藟
alm	蕒
aln	世界性
alo	2
alp	甍
alq	鹋
alr	世界舞台
als	世界杯赛
alt	世界各国
alu	苗头
alw	世界人口
alx	世界纪录
aly	苗族
ama	共同基金
amc	黄骅
amd	英雄
ame	䕧
amf	苒
amg	黄豆
amh	萜
ami	黄海
amj	英明
amk	贡品
aml	黄连
amm	花岗岩
amn	英尺
amo	2
amp	共同完成
amq	黄金
amr	共同提高
ams	英杰
amt	黄牛
amu	共同关心的
amv	英灵
amw	芮
amx	共同纲领
amy	英语
ana	蔬菜
anb	芑
anc	2
and	巨大
ane	2
anf	基层干部
ang	世事
anh	葭
ani	恐怖活动
anj	螶
ank	巨响
anl	巨轮
anm	巨幅
ann	恐惧心理
ano	2
anp	世家
anq	世贸
anr	2
ans	枼
ant	恐怖行动
anu	荬
anv	基层建设
anw	巨人
anx	基层组织
any	荩
aoa	工业基地
aob	2
aoc	2
aod	卧床不起
aof	鞭炮声
aog	䕺
aoj	蔊
aok	工业品
aol	工业园
aom	2
aon	蔍
aoo	工业废水
aop	营业室
aoq	䓎
aor	营业所
aos	蘼
aot	营业税
aou	苂
aov	蒌
aow	工业企业
aox	藕断丝连
aoy	䕲
apa	劳工
apb	荥阳
apc	莫之能御
apd	蒙古
ape	切实加强
apf	莞
apg	萱
api	荣誉
apj	荣昌
apk	营口
apl	劳累
apm	攻守同盟
apn	荧屏
apo	营业
apq	蓥
apr	工农兵
aps	切实可行
apt	营造
apu	营养
apv	工农群众
apw	蓿
apy	䔃
aqa	葡萄
aqb	获取
aqd	慕名而来
aqe	获胜
aqf	敬献
aqg	蓟
aqi	敬酒
aqj	黄金时间
aqk	警
aql	敬畏
aqm	花名册
aqn	警惕
aqo	敬业
aqp	警官
aqq	警句
aqr	萄
aqs	警醒
aqt	莸
aqu	获奖
aqv	兂
aqw	基金会
aqx	世贸组织
aqy	茑
ara	区划
arc	苽
ard	落后面貌
are	蘤
arf	区域
arg	欧亚
arh	䕫
ari	茱
arj	欧盟
ark	区别
arl	蘀
arm	菗
arn	区属
aro	2
arp	菦
arq	蔸
arr	殴打
ars	东拉西扯
art	区委
aru	欧美
arv	萔
arw	区分
arx	2
asa	基本功
asc	黄梅戏
asd	基本原理
asf	基本规律
asg	蘸
ash	基本上
asi	花样滑冰
asj	蕈
ask	基本路线
asl	基本国策
asn	艺术性
asp	基本实现
asr	基本的
ass	基本权利
ast	基本知识
asu	基本问题
asv	基本建设投资
asw	艺术创作
asx	基本纲领
asy	苛刻
ata	医药
atb	医院
atd	蓬
ate	蒩
atf	莛
atg	尧
ath	鸦片战争
ati	共和党
atj	工程师
atk	勤务员
atl	共和国
atm	薁
atn	医书
ato	萩
atp	攻守
atq	蘅
atr	工程技术人员
ats	戒备森严
att	切身利益
atu	䒩
atv	工程建设
atw	医务人员
atx	莓
aty	攻读
aua	菩萨
aub	医疗卫生
auc	革新能手
aud	茁壮成长
aue	葥
auf	菛
aug	颐养天年
aui	共产党
auj	萻
auk	营养品
aul	东道国
aum	欧美同学会
aun	工资改革
auo	2
auq	蒋
aur	工资制
aus	藽
aut	工资待遇
auu	工资总额
auv	菨
auw	医疗保险
aux	劳资纠纷
auy	东道主
ava	若即若离
avb	切除
avc	莭
avd	薅
ave	萧县
avg	茟
avh	2
avi	甘肃省
avj	2
avk	苕
avo	䔥
avp	切割
avs	2
avt	㓛
avu	2
avv	葌
avw	切分
avx	2
avy	切记
awa	荷花
awb	芁
awc	芟
awd	共有
awe	共用
awf	荟
awg	荃
awh	工作上
awi	工作汇报
awj	工作量
awk	茶叶
awl	花园
awm	工作岗位
awn	巷
awo	革命精神
awp	革命家
awq	花钱
awr	共振
aws	荷
awt	花生
awu	䒔
awv	共建
aww	觋
awx	工作组
awy	巩
axa	蕴藏
axb	葞
axc	苰
axd	䔛
axe	节约用水
axf	苏维埃
axg	薄弱环节
axh	䒡
axi	药水
axj	茀
axk	世纪中叶
axl	2
axo	节约粮食
axq	蕝
axr	2
axs	东张西望
axt	药物
axu	蒻
axv	2
axw	蒶
axx	芘
axy	药方
aya	荒芜
ayd	B
aye	䒾
ayf	荒地
ayi	a
ayj	荠
ayk	蒿
ayl	工商界人士
aym	貣
ayn	芦
ayo	荒唐
ayp	芳容
ayq	工商银行
ayr	蓠
ayt	工商管理
ayu	芠
ayv	蓈
ayw	茭
ayx	蕹
ayy	荒诞
baa	防范工作
bac	2
bad	陿
bae	2
baf	陈规
bag	职工再就业
bak	䧕
bal	2
bam	2
ban	聚苯乙烯
bao	取其精华去其糟粕
bap	限期完成
baq	2
bar	陈年
bau	2
bav	2
baw	职工代表大会
bax	2
bay	除草剂
bbb	子孙
bbd	防卫厅
bbe	2
bbg	聑
bbh	耳聪目明
bbi	2
bbj	2
bbk	2
bbl	2
bbo	2
