hgd	丄
ghk	丅
dgt	丆
dyi	丈
gmw	丙
uxg	丠
gja	丣
ngk	丮
ehk	丯
njh	丱
vyi	丸
ytn	为
ttl	丿
nyi	乄
mnn	乢
exi	乿
qjj	亀
hhl	亅
guv	亊
fnv	亐
fff	亖
mff	亗
yyg	亠
yjj	亣
ynt	亥
yem	亹
www	人
wth	亻
wgf	亼
wyu	亽
wwy	仈
wcy	仏
wfg	仕
wmj	仚
wfh	仠
wtn	仡
way	代
nyw	以
wdg	仨
wkh	仲
wxx	仳
wgg	仼
wny	伈
wyw	伉
wdb	伌
wfc	伎
wfn	伟
wwb	伧
wyt	伪
wvc	伮
wug	伴
wlg	伵
wmg	伷
wck	佁
wvk	佋
whx	佌
wfi	佘
wqk	佝
wgn	佤
wdj	佰
wbg	佴
wuq	佽
wwe	佾
wgk	使
wkk	侃
wgc	侄
wff	侍
woy	侎
wri	侏
wct	侔
wdm	侕
waa	侙
wsg	価
wwf	侩
wle	侽
wpf	俒
wkg	俣
wlh	俥
wdt	俦
whd	俳
wec	俷
wdw	俸
wjj	倡
whj	倬
wes	倸
wgm	债
wam	偀
waj	偃
wuj	偣
wus	偤
wln	偲
wwg	偷
wrq	傀
wco	傌
wov	傏
wex	傒
wip	傥
wcw	傩
wcc	傪
wgq	傲
woo	僗
wep	僢
waq	僭
wob	儍
wpn	儜
woa	儣
wja	儤
wll	儽
aqv	兂
igq	光
wcq	兊
qkq	免
hjq	児
hnm	兕
rqn	兜
igw	兴
adw	其
uvo	兼
urv	兿
mfd	冃
jqk	冕
pyn	冖
pwb	冗
pou	冞
prx	冟
pfq	冠
pfe	冡
pge	冢
uag	冮
uah	冴
ugv	凄
ufw	凌
uqg	凎
umg	凒
hwv	凣
twv	処
wtf	凭
wrg	凰
uco	凴
hgh	凸
fjh	刌
myj	刐
xjj	刜
egj	刞
ckj	刣
ugj	判
fcj	刦
fcv	刧
qnj	刨
caj	刭
tdj	刮
gcf	到
fjv	刱
bsj	刴
mqj	刿
kmw	剐
jqr	剔
uav	剙
gkv	剚
vij	剥
tux	剩
uej	剪
oac	剫
vjs	剿
dub	劂
lqj	劅
ouv	劆
thl	劓
ite	劣
ret	劧
fce	劫
qke	劬
vke	劭
dgq	励
ceh	勇
akf	勒
eee	勰
tyc	勶
qtn	勹
qyi	勺
qge	匍
qdj	匎
qgk	匐
qvc	匓
agn	匚
aad	匞
ahd	匪
fmu	南
ffh	卦
bnh	卩
qbh	卬
abh	卭
rgb	卮
qgb	印
qyt	卵
big	卺
qtv	卿
djf	厘
daj	厝
dri	原
dim	厰
dcu	厷
ccy	厸
nhc	収
kkk	口
vkf	叴
kng	叼
kgf	吁
kta	吒
kbn	吔
koy	吙
kvt	吚
vtk	君
dhk	否
wyn	含
kqu	呁
kdy	呔
kar	呕
kyx	呟
knn	呡
kxy	呣
mfk	周
klg	呬
kgu	呯
kvc	呶
kqn	咆
kmd	咉
kty	咊
kyn	咏
kwf	咐
krs	咑
kdm	咘
ktu	咚
kxx	咝
kbg	咡
kpt	咤
kgc	咥
nyk	咫
kyw	咬
kfk	咭
kud	咲
ktd	咶
dgk	咸
kgj	咺
kwv	咿
kag	哐
krh	哖
kws	哚
kxw	哛
kct	哞
kga	哢
kdn	哤
kkd	哭
krr	哳
kyv	哴
kjf	哻
kyk	哼
eks	哿
ktb	唀
dfe	唇
klh	唓
krf	唕
gsk	唜
kam	唝
kru	唞
kqg	唫
wyk	售
kuf	唴
keb	啂
kge	啄
kss	啉
kes	啋
knb	啒
kqr	啕
hxk	啙
kfl	啚
kcc	啜
khd	啡
kgm	啧
ful	啬
klf	啭
khw	啮
kpg	啶
kjg	啺
kgk	喇
kwn	喉
kdg	喊
kan	喋
kad	喏
kuj	喑
fku	喜
kwg	喻
kqv	喼
kgx	嗉
kee	嗋
kpd	嗐
kfc	嗑
kfh	嗔
kbh	嗤
krd	嗥
kit	嗨
kdw	嗪
kaw	嗬
kjs	嗮
kld	嗯
kwl	嗰
kgq	嗷
koa	嗻
kyt	嗾
kyu	嘀
kdh	嘁
kov	嘃
kgh	嘕
kha	嘘
kih	嘙
kqe	嘝
kft	嘟
kme	嘣
klm	嘪
ksj	嘾
kaq	噆
kcn	噊
kfp	噎
ktm	噢
gkk	噩
kah	嚂
kog	嚉
kfn	嚋
kos	嚒
kka	嚚
krx	嚛
kfw	嚯
klu	嚺
kyr	囄
mng	囙
lhn	四
lft	团
mwm	囧
tlq	囱
lfn	围
lwx	囵
lwy	囹
lck	囼
lgk	圄
lcm	圎
fsh	圢
fqb	圥
ffn	圬
fnn	圮
dff	圶
fnr	场
jff	圼
fgb	坉
iff	坔
fde	坜
fqn	坞
bwf	坠
fpx	坨
faf	坩
fdh	坯
gaj	型
sff	垔
waf	垡
fyr	垴
fpv	垵
feb	垺
fmy	垻
foc	垿
fgj	埂
mif	埊
fge	埔
fkm	埙
fak	域
inx	埿
feq	堄
fwy	堆
fqk	堍
fjx	堒
bde	堕
fvt	堖
fwn	堠
wks	堡
fjg	堤
fxx	堦
faj	堰
lif	塁
ikg	塣
fon	塶
fov	墉
fyu	墒
ffu	墙
fog	墣
lfo	墨
fyk	墩
bxg	墬
fam	墴
yxt	壅
fah	壏
hpg	壑
fbx	壣
fgh	士
ttn	夂
bci	夃
edh	夓
qbn	夗
nwi	夬
diu	夵
ddy	夶
dkf	夻
dar	奁
dsk	奇
dwg	奉
dje	奛
vvg	奻
vyv	奿
vqy	妁
ynv	妄
vpq	妉
vfj	妌
vwc	妐
vcn	妑
vyn	妒
vyw	妔
vtd	妖
vfc	妘
vwv	妢
vdh	妦
vfq	妧
vyt	妫
vdg	妬
vth	妰
qbv	妴
vqk	姁
vgm	姉
vtn	姊
vmf	姌
vaf	姏
vtm	姠
vrg	姤
vrh	姩
vah	姫
vgj	姮
vde	姷
vmg	娉
vie	娋
