AAAA	工
AAAB	㐂
AAAD	工期
AAAF	工藝品
AAAH	葡萄牙
AAAK	工區
AAAL	花花世界
AAAN	驚恐萬狀
AAAR	工匠
AAAU	菚
AABB	葉子
AABN	工薪階層
AABW	戒除
AABX	工聯
AADA	藝苑奇葩
AADC	工友
AADE	蘛
AADG	工厂
AADH	艱苦奮鬥
AADI	藄
AADJ	䘌
AADK	匿名
AADN	葚
AADO	工礦企業
AADQ	落荒而逃
AADR	茙
AADS	萬萬不可
AADW	萁
AADY	落落大方
AAEE	勤勤懇懇
AAFB	工地
AAFD	葉城
AAFF	苷
AAFJ	工場
AAFT	帶菌者
AAFW	工夫不负有心人
AAFY	甙
AAGD	藍天
AAGF	艱苦環境
AAGK	工整
AAGX	戒毒所
AAHB	工齡
AAHC	菣
AAHH	茝
AAHI	葉縣
AAHL	藍色
AAHM	藖
AAHT	芽
AAHW	虦
AAHX	艱苦卓絕
AAHY	蕥
AAIE	臥薪嘗膽
AAIG	工藝水平
AAII	落花流水
AAIJ	觀花賞景
AAIP	工党
AAIQ	欺世盜名
AAIT	工藝流程
AAJF	工時
AAJG	蘊藏量
AAJH	剗
AAJJ	工日
AAKG	蓳
AAKH	匿蹟
AAKK	蓲
AAKM	蘇共中央
AAKO	蘜
AAKY	䕼
AALA	艱難困苦
AALF	盞
AALK	藍圖
AALL	藍田
AALX	緊緊圍繞
AAMA	工農
AAME	歐共體
AAMF	蘳
AAMG	蘣
AAMM	藍山
AAMR	艱難曲折
AAMU	䔈
AANC	萌芽狀態
AANF	苣
AANH	工裝
AANS	葉利欽
AANT	艱巨性
AANY	戒心
AAOC	工序
AAOG	工業化
AAOI	工廠
AAOS	戒煙
AAPL	工運
AAPP	切切實實
AAQA	工錢
AAQB	苉
AAQC	藍色
AAQD	茫茫然
AAQH	蔕
AAQK	匿名信
AAQY	工貿結合
AARF	苦苦探索
AARG	工兵
AARH	戒掉
AARL	芭蕾舞
AARQ	艱巨的
AARR	熙熙攘攘
AARW	緊緊抓住
AARX	戒指
AASE	工棚
AASG	工本
AASU	式樣
AATH	葉片
AATK	工程
AATM	萬花筒
AATN	蘙
AATT	醫藥衛生
AATU	莫斯科
AATV	工委
AAUK	工藝美術品
AAUQ	工資總額
AAUT	工藝美術品
AAVE	艱苦努力
AAVR	苆
AAWA	戒備狀態
AAWB	花花公子
AAWD	工段
AAWE	匶
AAWG	工余
AAWO	艱苦創業
AAWS	葉落歸根
AAWT	工作
AAWV	蒆
AAWW	莁
AAWY	茿
AAXF	蒙蒙細雨
AAXR	警戒線
AAXX	花花綠綠
AAYF	工讀
AAYG	苦苦哀求
AAYI	式样
AAYK	蒙蒙亮
AAYU	芅
AAYW	工效
ABAG	若隱若現
ABCI	藂
ABCL	萾
ABCU	菆
ABDE	䔺
ABEK	薩迦
ABEN	蘟
ABEQ	臨陣脫逃
ABFT	䔖
ABGI	蔯
ABHG	匩
ABIB	菡
ABIG	䒱
ABIL	䕄
ABIO	蒸汽
ABIR	蒸汽
ABKG	䓧
ABKM	藬
ABKX	莻
ABLF	䓝
ABMC	䔴
ABMF	䔜
ABMJ	茁壮成长
ABMS	邛崍
ABNB	芤
ABNH	茁壯成長
ABOS	臨陣磨槍
ABRJ	㧭
ABRN	蒸气
ABRY	菰
ABTG	蕯
ABTI	蓀
ABTN	㲨
ABTP	䕖
ABUE	䔹
ABUG	薩迦
ABUK	䔒
ABUY	蘵
ABWC	蔭
ABWS	蒢
ABWX	蒸發量
ABWY	蒸餾
ABYD	巧取豪奪
ABYU	芨
ACAF	醫務工作者
ACAJ	茅草
ACAK	匥
ACAQ	苔蘚
ACAW	芭蕉
ACCE	蔘
ACCK	茅台酒
ACDE	萬馬奔騰
ACDH	英勇奮鬥
ACEP	蓪
ACFK	茅臺酒
ACGD	㦯
ACGT	戎馬一生
ACHE	英勇鬥爭
ACHT	英勇獻身
ACIS	茅台酒
ACKF	苔蘚
ACKM	勤務員
ACKP	䕂
ACKS	葈
ACLF	䓿
ACNE	蓩
ACNG	茅屋
ACNH	芧
ACNM	蕷
ACNO	鶜
ACNS	葇
ACNT	茅
ACOI	世態炎涼
ACOU	䔍
ACPG	醫務室
ACRG	勤務兵
ACSJ	難能可貴的是
ACSK	難能可貴的是
ACTI	戎馬生涯
ACTY	英勇行為
ACUK	英勇善戰
ACWK	醫務人員
ACWT	荾
ACYK	萬馬齊喑
ACYN	茅房
ACYU	芆
ADAA	藏匿
ADAB	鞭長莫及
ADAD	苦苦探索
ADAE	苦功
ADAH	葫蘆
ADAJ	七百萬
ADAK	苦難
ADAO	基礎工業
ADAT	基礎工程
ADAY	蔵
ADBB	苊
ADBD	巨大障礙
ADBV	期限
ADCG	蕼
ADCO	欺騙
ADCU	苃
ADCW	蕻
ADCY	茇
ADDD	藞
ADDF	英雄有用武之地
ADDG	基石
ADDJ	欺壓
ADDN	茂盛
ADDP	基礎研究
ADDS	基礎上
ADDT	藏歷
ADDW	雅而不俗
ADDY	巨大成就
ADEF	葫
ADEJ	巨大力量
ADEN	巧克力
ADEQ	藏胞
ADER	苦學
ADET	巨大胜利
ADEU	萇
ADFA	莾
ADFB	基地
ADFD	項城
ADFE	莀
ADFF	蓐
ADFG	若干
ADFI	萘
ADFJ	期刊
ADFN	荂
ADFP	敬而遠之
ADFT	期考
ADFY	苦不堪言
ADGA	巧奪天工
ADGB	華盛頓
ADGC	甚至是
ADGF	基于
ADGG	其一
ADGK	惹事
ADGN	䓐
ADGQ	七百万
ADGY	葳
ADHA	藏戲
ADHB	英雄輩出
ADHD	葜
ADHF	茬
ADHG	苤
ADHH	項目
ADHI	茂縣
ADHJ	䒠
ADHK	䓏
ADHU	芣
ADHV	蔧
ADHW	期盼
ADHX	藉此
ADHY	蒧
ADIA	綦江
ADIE	巨大潛力
ADIF	工布江達
ADII	苦水
ADIJ	藉此
ADIM	勘測
ADIT	苦海
ADIU	䒹
ADIV	苦澀
ADIW	基準面
ADIY	藕断丝连
ADJG	若是
ADJN	菴
ADJS	苦果
ADJX	巨大影響
ADKB	鄀
ADKF	若干
ADKH	其中
ADKJ	蠚
ADKK	匲
ADKN	惹人
ADKP	逽
ADLD	基因工程
ADLF	基點
ADLV	基數
ADMD	䓴
ADMJ	荋
ADMY	項
ADNA	藏民
ADNT	基礎性
ADNU	基層組織
ADNV	苦惱
ADNY	藏
ADOA	甚廣
ADOG	基業
ADPN	茂密
ADPU	荙
ADPW	勘察
ADPX	其它
ADPY	惹禍
ADQK	茂名
ADQM	欺負
ADQN	蒙古包
ADQQ	基金会
ADQY	功成名就
ADRF	英雄無用武之地
ADRG	其后
ADRI	蒝
ADRL	若有所思
ADRP	勘探
ADRQ	巨大的
ADRR	若有所失
ADRU	莽撞
ADSA	英雄模范
ADSF	期票
ADSG	基本
ADSI	功不可滅
ADSJ	勘查
ADSK	切不可
ADSR	堅不可摧
ADSS	苦楚
ADST	英雄模範
ADTE	基礎科學
ADTF	期待
ADTH	藶
ADTM	甚微
ADTN	萬不得已
ADTT	苦笑
ADTV	功成身退
ADTX	其後
ADTY	基礎知識
ADUA	䕢
ADUC	苦痛
ADUF	欺凌
ADUJ	期間
ADUN	苦悶
ADUQ	其次
ADUW	蕨
ADVF	藏書
ADVG	基建
ADVH	莫不如此
ADVY	基礎建設
ADWA	戡
ADWB	其他方面
ADWC	㪛
ADWD	碁
ADWE	期
ADWF	基
ADWG	菶
ADWI	綦
ADWJ	剘
ADWM	䫏
ADWN	甚
ADWO	工礦企業
ADWQ	夦
ADWR	斯
ADWS	棊
ADWT	蓁
ADWU	其中
ADWW	欺
ADWX	期貨市場
ADWY	諅
ADXG	苦練
ADXN	其母
ADXR	基線
ADXT	期終
ADXY	茂密
ADYA	莽
ADYC	䒎
ADYF	苦讀
ADYG	藏語
ADYI	弎
ADYJ	基礎課
ADYK	苦衷
ADYL	葢
ADYM	基調
ADYN	期望
ADYT	藏族
ADYU	英雄主義
ADYW	基於
ADYX	基礎訓練
ADYY	荗
AEAH	功臣
AEAI	散落
AEAN	菜蔬
AEAT	難辭其咎
AEAX	勤學苦練
AEBC	菔
AEBF	莩
AEBP	醫學院
AECB	萉
AECE	功能键
AECN	薍
AEDE	莫須有
AEDM	蕦
AEDR	其貌不揚
AEEC	散亂
AEEE	荔枝
AEEF	萠
AEEH	功用
AEEJ	蒯
AEEK	散架
AEEN	功力
AEER	荕
AEFB	菜地
AEFI	莫力達瓦達斡爾族自治
AEFJ	菜場
AEFU	雅加達
AEFW	巭
AEGC	萲
AEGE	莇
AEGF	苴
AEGW	藇
AEGY	䔕
AEHC	蓃
AEHH	散步
AEHJ	苚
AEIG	散光
AEIH	荔波
AEIJ	散漫
AEJF	薶
AEJN	﨟
AEKF	茄子
AEKK	菜單
AELF	落腳點
AELW	醫學界
AEMA	菜農
AEMN	功過
AEMV	虋
AEMW	䕟
AEND	散居
AENH	散裝
AENY	散心
AEOO	功勞
AEOQ	功底
AEPH	蕣
AEPT	薆
AEPY	藐視
AEQB	萖
AEQK	葋
AEQO	蕮
AERA	散攤
AERD	菜肴
AERI	蘨
AERM	䔄
AERQ	藐视
AERT	散播
AERW	散失
AESF	荔枝
AESK	芝加哥
AESU	菜单
AETF	葄
AETG	功勳
AETM	散射
AETO	蔿
AETY	散文
AEUE	蕂
AEUG	散開
AEUI	䕨
AEUO	虅
AEVF	荽
AEWG	散會
AEWI	㔱
AEWS	菜價
AEWT	苟且偷生
AEWU	萸
AEWW	菜价
AEWX	散發
AEXD	蒵
AEXG	功績
AEYJ	功課
AEYM	菜市场
AEYN	散記
AEYW	功效
AEYX	功率
AEYY	散文
AFAD	甘苦
AFAG	七十七
AFAJ	七十萬
AFAL	甘薯
AFAM	蕡
AFAO	甘蔗
AFAP	芙蓉
AFAQ	藝苑奇葩
AFBB	蓋子
AFBH	邯郸
AFBN	匯報了
AFBP	敬老院
AFBT	甘孜
AFCE	藝能
AFCL	蓋章
AFCU	芰
AFDG	七十三
AFDJ	薷
AFDR	甘愿
AFDW	功夫不負有心人
AFEC	蘎
AFEX	敬老愛幼
AFFA	華南地區
AFFB	某地
AFFC	蕓
AFFF	葑
AFFG	七十二行
AFFK	甘露
AFFM	甘南
AFFP	若干規定
AFFQ	蕘
AFFT	著者
AFFU	䓁
AFFW	䕀
AFGA	菱形
AFGD	落井下石
AFGF	甘于
AFGG	七十五
AFGQ	七十万
AFGY	㽍
AFHI	蓋縣
AFHW	蒖
AFHX	某些人
AFIB	匯報演出
AFII	蒜
AFIP	甘當無名英雄
AFIS	茅臺酒
AFIT	甘洛
AFIU	苿
AFJG	或者是
AFJJ	䗣
AFKC	薣
AFKF	薹
AFKK	蘦
AFKM	藝員
AFKO	䕵
AFKP	薳
AFKW	䖅
AFLF	蕾
AFLH	七十四
AFLM	匵
AFLW	藝界
AFMF	萳
AFMW	黃埔同學會
AFMY	貳
AFNB	芌
AFNF	薵
AFNT	區域性
AFNU	䓌
AFNY	甘心情愿
AFOK	䕋
AFOU	䓇
AFPB	荸
AFPC	匹夫之勇
AFPE	葧
AFPF	䑓
AFQB	芫
AFQK	著名的
AFQP	䓕
AFQQ	墓志銘
AFQU	荺
AFQW	莰
AFQX	著錄
AFRI	甘泉
AFRQ	蓬勃的
