DGGG	三
GHNN	丏
GHNV	丐
VYGF	丒
DHGF	丕
GKGD	丗
UXGF	丠
GMMK	両
GJAN	丣
HHLL	丨
UYGH	丬
NJHG	丱
KKJK	丳
YYLL	丶
FJYI	丼
TTLL	丿
THFF	乍
TUFK	乎
RGYU	乓
RFMH	乕
TFUX	乖
TGAI	乗
NNLL	乙
GHNB	乤
TUNB	乥
UFNB	乧
CKNN	乨
HKNN	乩
EKNB	乫
ANNB	乬
TUFN	乯
EBNN	乳
RRNB	乴
UFNN	乵
GEHN	乶
IITN	乷
RNRN	乺
YWUN	乻
IYGN	乼
FJFN	乾
EXIN	乿
QJJN	亀
OQAN	亃
CNHJ	予
GUVH	亊
GHNG	亙
HXFF	些
GKJG	亜
CCCF	亝
GFGD	亞
YWRU	交
YNTW	亥
YKBJ	亨
YOYU	亪
YKBF	享
YKPS	亭
YKPW	亮
YKJF	亯
YJIU	亰
YWJG	亱
YKPA	亳
YKPV	亴
YLKG	亶
UTVO	亷
YKBL	亸
YEMG	亹
WWWW	人
WTAN	仛
WVYY	仞
WTFH	仟
WTNN	仡
WQYY	仢
WAYY	代
NYWY	以
HGWU	仧
WHGG	仩
WTCY	仫
WRCY	仮
WITT	仯
WWYN	仱
WXXN	仳
WTGH	件
WTDY	仸
WDHH	仹
WAGF	仺
WTFG	任
WWVT	份
WGXG	仾
WWCY	伀
WGMH	伂
WCNH	伃
WXHH	伄
WGBN	伅
WQRT	伆
WBYY	伋
WDBN	伌
WFCY	伎
WDYY	伏
WDHY	伓
WPWN	伔
WFWY	伕
WDCY	伖
WVFH	伜
WAHT	伢
WMQN	伣
WQUG	伨
WNYY	伬
WVCY	伮
WWIY	伱
WNXN	伲
WANN	伳
WUGH	伴
WEGG	伹
WNGK	伺
WGUF	伻
WNYW	似
WDHG	伾
WKWY	伿
WHNN	佀
WCKG	佁
WGHG	佂
WAFG	佄
WFIY	佅
WJGG	但
WPSH	佇
WDMH	佈
WHCY	佊
WVKG	佋
WHXN	佌
WMDY	佒
WNTT	佖
WPXN	佗
WRWY	佚
WQKG	佝
WFVG	佞
WTUY	佟
WWMH	佡
WANG	佢
WGNY	佤
WHGH	佧
WQNN	佨
WLKG	佪
WTKG	佫
WFTX	佬
WTAH	佭
WWGK	佮
WDJG	佰
WFHF	佱
WFFG	佳
WUAH	併
WFKG	佶
WVEY	佷
WTDG	佸
WQDB	佹
WWGG	佺
WQIY	佻
WYWR	佼
WUQW	佽
WGKR	使
WGAJ	侀
WTFQ	侁
WOTA	侂
WKKN	侃
WGXW	侇
WQQY	侈
WDFN	侉
WIGQ	侊
WYNC	侌
WFFY	侍
WRIY	侏
WTLG	侐
WDEG	侑
WPVG	侒
WVGH	侓
WCTG	侔
WDMJ	侕
WGMA	侖
WMGK	侗
WPTA	侘
WAAY	侙
WQJG	侚
WAWY	供
WTEY	侜
WDHB	侟
WGMF	侢
WFTN	侤
WYNV	侫
WNYU	侭
WNTD	侯
WVTK	侰
WKGG	侱
WDFE	侲
WGNJ	侴
WVPC	侵
WKTK	侶
WNNK	侷
WTFP	侹
WMWN	侺
WUKQ	侻
WFPB	侼
WLET	侽
WFTB	侾
WEVG	俀
WKND	俁
WTXI	係
WTRY	俄
WGIY	俅
WWGS	俆
WQTG	俇
WTFK	俈
WGKG	俉
WKCN	俋
WGEY	俌
WWEG	俎
WTJH	俐
WCEH	俑
WPFQ	俒
WGVA	俓
WHQN	俔
WPSY	俕
WDHK	俖
WWWK	俗
WRDH	俙
WJFG	俚
WQKQ	俛
WMGN	俜
WGEJ	俞
WCTD	俟
WDWW	俠
WTET	俢
WUXT	俤
WFNY	俧
WGUS	俫
WHWY	俱
WYWE	俲
WHDD	俳
WHGC	俶
WECN	俷
WDWG	俸
WGFG	俹
WYCE	俼
WRQW	俽
WRTF	俾
WHAW	俿
WDEY	倀
