aaaa	工
aaab	㐂
aaad	工期
aaah	葡萄牙
aaal	花花世界
aaan	工艺
aaar	工区
aaau	菚
aaaw	欺世惑众
aaay	劳苦功高
aabn	工薪阶层
aabt	医药卫生
aabu	工联
aacn	勤劳勇敢
aada	艺苑奇葩
aadc	工友
aade	蘛
aadg	工厂
aadi	藄
aadj	䘌
aadk	匿
aadn	葚
aado	工矿
aadq	落荒而逃
aadr	茙
aadt	攻其不备
aadw	萁
aady	落落大方
aaet	节节胜利
aafb	工地
aafc	工运
aaff	苷
aafn	工场
aafw	工夫
aafy	甙
aagf	䒰
aagk	工整
aago	戒严
aagp	勤劳致富
aagx	戒毒
aahb	䓉
aahc	菣
aahh	茝
aahm	藖
aaht	芽
aahw	工具
aahy	蕥
aaie	卧薪尝胆
aaig	工艺水平
aaii	落花流水
aaip	工党
aait	工艺流程
aajf	工时
aajg	蕴藏量
aajh	蒸蒸日上
aajj	工日
aakg	蓳
aakk	工艺品
aakm	苏共中央
aako	蘜
aaky	䕼
aalp	东欧国家
aamf	蘳
aamg	蘣
aamu	䔈
aanf	苣
aaoc	工序
aaog	工业
aaol	戒烟
aape	工农
aapp	切切实实
aaqb	苉
aaqf	工钱
aaqh	蔕
aaqk	匿名
aaqy	工贸
aarf	苦苦探索
aarg	工兵
aarl	芭蕾舞
aarr	熙熙攘攘
aarx	戒指
aase	工棚
aasg	工本
aasu	式样
aata	工长
aatd	勤劳智慧
aatk	工程
aatl	戒备
aatn	蘙
aatq	荛
aatt	工笔
aatu	莫斯科
aatv	工委
aaud	萌芽状态
aauf	工装
aaug	蕴藏着
aauk	工艺美术品
aauq	工资
aaus	工艺美术
aavr	苆
aavv	勤勤恳恳
aawb	花花公子
aawd	工段
aawe	匶
aawf	工会
aawg	工余
aawi	勤工俭学
aaws	欧共体
aawt	工作
aawv	蒆
aaww	工人
aawy	茿
aaxf	警戒线
aaxx	花花绿绿
aayf	工读
aayg	苦苦哀求
aayi	式
aayk	蒙蒙亮
aayo	匿迹
aayu	工商
aayw	工效
abag	若隐若现
abce	节能
abci	藂
abcl	萾
abcu	菆
abde	䔺
abdw	节奏
abef	荫
aben	蘟
abfc	节支
abft	䔖
abgi	蔯
abhg	匩
abhh	节目
abib	菡
abig	䒱
abii	节水
abil	䕄
abim	节油
abio	蒸
abir	蒸汽
abit	节省
abiu	荪
abiy	节流
abjj	节日
abjn	节电
abkg	䓧
abkm	警卫员
abkx	莻
ablf	䓝
abmc	䔴
abmf	䔜
abmj	茁
abnb	芤
abnt	蒸发
aboa	节煤
abqn	蒸馏
abrg	节后
abrj	㧭
abrm	节制
abrn	蒸气
abrr	节拍
abry	菰
abtg	蕯
abtn	㲨
abtp	䕖
abue	节前
abuf	茁壮
abuk	䔒
abut	萨
abuy	蘵
abwc	䕃
abwg	节余
abws	蒢
abww	节俭
abxq	节约
abyc	节育
abyd	巧取豪夺
abyu	芨
acaf	茎
acaj	茅草
acak	戒骄戒躁
acaw	芭蕉
acbd	节能降耗
acce	蔘
acck	茅台
acdu	英勇奋斗
acep	蓪
acft	英勇献身
acga	节能型
acgd	㦯
acgt	戎马一生
acis	茅台酒
ackf	苔
ackp	䕂
acks	葈
aclf	䓿
acne	蓩
acng	茅屋
acnh	芧
acnm	蓣
acno	鶜
acns	葇
acnt	茅
acou	䔍
acqv	功能键
acti	戎马生涯
acty	英勇行为
acuh	英勇善战
acuq	英勇斗争
acwt	荾
acyu	芆
adaa	藏匿
adad	苦苦
adae	苦功
adaf	巨大贡献
adah	藏龙卧虎
adao	基础工业
adat	基础工程
aday	葫芦
adbb	苊
adbd	巨大障碍
adbv	期限
adcg	欺骗
adcu	苃
adcw	蕻
adcy	茇
addb	基础
addd	藞
adde	藏历
addf	欺压
addg	基石
addn	茂盛
addp	基础研究
addw	雅而不俗
addy	巨大成就
adef	葫
adej	巨大力量
aden	巧克力
adeq	藏胞
ader	苈
adet	巨大胜利
adfa	劳而无功
adfb	基地
adfd	项城
adfe	莀
adff	蓐
adfg	若干
adfi	萘
adfj	期刊
adfn	荂
adfp	敬而远之
adfy	基础教育
adga	荣辱与共
adgc	甚至
adgf	基于
adgg	其一
adgn	䓐
adgo	划不来
adgq	七百万
adgy	葳
adhb	荐
adhd	葜
adhf	茬
adhg	苤
adhh	项目
adhj	䒠
adhk	基点
adhu	芣
adhv	蔧
adhw	期盼
adhx	藉此
adhy	蒧
adia	期满
adid	工布江达
adie	巨大潜力
adii	苦水
adij	藉
adim	勘测
adin	勤奋学习
adiu	䒹
adiv	苦涩
adiy	藕
adjg	若是
adjk	巨大影响
adjs	苦果
adkb	鄀
adkf	若
adkh	其中
adkj	蠚
adkk	藏品
adkn	惹
adkp	逽
adld	基因
admd	䓴
admj	荋
admy	项
adna	藏民
adnf	基层
adnn	藏书
adnt	基础性
adny	藏
adog	基业
adou	世态炎凉
adov	基数
adoy	甚广
adpn	茂密
adpu	其实
adpw	勘察
adpx	其它
adqk	茂名
adql	项链
adqm	欺负
adqn	蒙古包
adqq	基金
adqy	功成名就
adrc	苦瓜
adrg	其后
adri	蒝
adrl	若有所思
adrp	勘探
adrq	巨大的
adrr	巨大损失
adsa	英雄模范
adsf	东奔西走
adsg	基本
adsj	勘查
adsk	切不可
adtc	甚么
adtf	期待
adti	基础科学
adtm	甚微
adtt	苦笑
adtv	功成身退
adty	基础知识
adua	䕢
adud	苦头
aduf	欺凌
aduj	期间
adun	苦闷
aduq	其次
aduw	蕨
advg	基建
advh	莫不如此
advy	基础建设
adwa	戡
adwb	其他
adwc	㪛
adwd	碁
adwe	期
adwf	基
adwg	其余
adwi	綦
adwj	剘
adwm	䫏
adwn	甚
adwo	工矿企业
adwq	夦
adwr	斯
adws	棊
adwt	蓁
adwu	其
adww	欺
adwx	期货
adwy	諅
adxa	苦练
adxf	基线
adxn	其母
adxy	茂
adya	莽
adyc	䒎
adyf	苦读
adyg	藏语
adyi	弎
adyj	基础课
adyk	苦衷
adyl	葢
adym	基调
adyn	期望
adyt	藏族
adyw	巨大变化
adyx	基础训练
adyy	基础设施
aeah	功臣
aeai	散落
aeap	功劳
aear	苏区
aebb	茄子
aebc	菔
aebf	莩
aebu	苏联
aecb	萉
aece	功能
aecn	薍
aede	莫须有
aedm	散布
aedp	雅加达
aedr	其貌不扬
aeee	荔
aeef	萠
aeeh	功用
aeej	蒯
aeen	功力
aeer	荕
aefb	菜地
aefn	菜场
aefp	功过
aeft	获胜者
aefw	功夫
aega	散开
aegc	萲
aege	莇
aegf	苴
aegw	藇
aegy	䔕
aehc	蓃
aehh	散步
aehj	苚
aehk	落脚点
aeig	散光
aeij	散漫
aejf	薶
aejn	﨟
aekf	茄
aekh	苏中
aekm	功勋
aelf	菜园
aemv	虋
aemw	䕟
aemy	苏丹
aend	散居
aent	散发
aeoq	功底
aepe	菜农
aeph	蕣
aepl	苏军
aept	薆
aepu	切肤之痛
aepy	藐视
aeqb	萖
aeqk	功名
aeqo	蕮
aerd	菜肴
aeri	蘨
aerm	䔄
aerq	藐
aerw	散失
aesf	荔枝
aesg	苏醒
aesh	菜椒
aesk	芝加哥
aesu	菜
aetd	散乱
aetf	功德
aetj	菜篮
aetm	散射
aeto	蔿
aety	散
aeue	蕂
aeuf	散装
aeui	藤
aeul	菜单
aeuo	虅
aeuu	花边新闻
aevf	荽
aewi	㔱
aewt	苟且偷生
aewu	苏
aeww	菜价
aexd	蒵
aexg	功绩
aeyj	功课
aeym	菜市
aeyn	散记
aeyt	苏州
aeyw	功效
aeyx	功率
aeyy	散文
afab	劳动节
afad	某项
afag	七十七
afal	甘薯
afam	蕡
afao	甘蔗
afap	芙蓉
afar	东城区
afau	劳动工资
afbh	邯
afbp	敬老院
afbt	甘孜
afce	劳动能力
afch	劳动观点
afcu	芸
afdd	攻无不克
afdg	七十三
afdj	薷
afdo	劳动态度
afdr	甘愿
afdw	功夫不负有心人
afec	蘎
afej	贡献力量
afen	劳动力
afex	敬老爱幼
affb	某地
afff	葑
affg	七十二
affk	甘露
affm	甘南
affp	若干规定
afft	劳动者
affu	劳动教养
affw	䕀
affy	劳动教育
afga	菱形
afgd	落井下石
afgf	莫过于
afgg	七十五
afgj	东南亚国家联盟
afgo	东南亚
afgp	劳动致富
afgq	七十万
afgt	功亏一篑
afgy	㽍
afhw	蒖
afhx	某些
afid	芜湖
afif	劳动法
afii	蒜
afip	劳动党
afiu	苿
afiv	甘当
afjg	或者是
afjh	共进晚餐
afjj	劳动日
afju	劳动时间
afkc	薣
afkf	薹
afkk	蘦
afko	䕵
afkp	薳
afkw	䖅
aflf	蕾
aflh	七十四
aflm	匵
afmf	萳
afmr	区域网
afmw	黄埔同学会
afmy	贰
afnb	芌
afnf	薵
afnh	苇
afnn	蓬勃发展
afnt	区域性
afnu	䓌
afny	甘心
afok	䕋
afou	䓇
afpb	荸
afpc	匹夫之勇
afpe	葧
afpf	䑓
afpg	劳动密集型
afpp	劳动定额
afqb	芜
afqe	东南角
afqk	著名
afqo	劳动锻炼
afqp	䓕
afqq	墓志铭
afqu	荺
afqw	莰
afrc	劳动技能
afri	甘泉
afrq	蓬勃的
afrs	劳动报酬
afrt	劳动所得
afrw	七十年代
afsa	劳动模范
afsc	劳动权
afsf	㽑
afsu	某
afsy	著述
aftb	䓔
aftd	甘甜
afte	劳动生产力
afth	共进午餐
aftj	著
aftk	某种
aftq	著称
aftu	劳动和社会保障部
aftw	劳动条件
aftx	荖
afty	劳动生产率
afuc	蕔
afuk	蔷
aful	邯郸
afuo	㽐
afup	劳动竞赛
afuu	劳动部门
afuy	蓻
afvh	莫过如此
afvi	甘肃
afvt	七十九
afvw	劳动群众
afwa	七零八落
afwb	劳动保障
afwc	蕶
afwh	某个
afwk	劳动人口
afwm	劳动合同
afwn	劳动人民
afwo	荒无人烟
afwq	恭喜你
afwr	劳动保护
afwt	菱
afwu	芙
afww	某人
afwy	藿
afxi	区域经济
afxo	劳动强度
afxt	劳动纪律
afxw	劳动组合
afyd	黄土高原
afye	蘾
afyi	弍
afyo	劳动就业
afyu	或者说
afyw	七十六
afyy	劳动效率
agaf	莱芜
agaj	荆
agao	鷨
agau	七五期间
agbh	邼
agbj	莱阳
agbn	芚
agcf	荎
agcj	菿
agdb	欧亚大陆
agdd	七大
agdj	七百
agdn	菾
agee	七月
agef	菁
ageg	蕤
ageh	巧用
agej	藸
agep	蓫
agey	莆
agfg	七十
agfj	芋
aggf	甚至于
aggg	七一
aggm	荆棘
aggn	䔷
aggq	七万
aghg	廿
aghh	艹
agho	蔫
agif	花天酒地
agiy	莍
agjf	蓴
agjg	甚至是
agji	菄
agjm	巧遇
agjn	蕙
agjr	某一时期的
agjs	苹果
agkf	䓊
agkg	菫
agkh	蒚
agkj	䓶
agkk	蘁
agkl	葍
agkm	藾
agko	虉
agkp	藗
agkt	䔩
agku	荳
agkw	蔌
aglf	共青团
agli	萰
aglk	共青团员
agll	莆田
aglm	共青团中央
aglx	共青团组织
agmh	芾
agmi	茦
agmj	莿
agmm	颟
agmt	蓛
agmu	蔶
agmw	苪
agmx	䕻
agmy	䓣
agnb	䒓
agnk	戈壁
agnn	巧
agno	䲾
agnv	㚽
agny	戈
agou	莱
agow	区政府
agpt	落到实处
agpy	葬礼
