ggll	一
dggg	三
gngd	与
ghnv	丐
nhfd	丑
vygf	丒
fnyi	专
dhgf	丕
gmwi	丙
wwgf	丛
xxgf	丝
bigf	丞
uxgf	丠
gmmk	両
tfcu	丢
gjan	丣
gmww	两
godr	严
fueu	丧
hhll	丨
uygh	丬
njhg	丱
kkhk	串
kkjk	丳
jtyg	临
yyll	丶
ytny	为
fjyi	丼
gmyy	丽
igwg	举
ttll	丿
pppp	之
qngd	乌
thff	乍
tufk	乎
tnii	乐
rgtr	乒
rgyu	乓
tdjj	乔
tfux	乖
tgai	乗
tuxv	乘
nnll	乙
bnhn	也
ghnb	乤
tunb	乥
nnhy	书
ufnb	乧
cknn	乨
hknn	乩
eknb	乫
annb	乬
tufn	乯
nudu	买
tdnn	乱
ebnn	乳
rrnb	乴
ufnn	乵
gehn	乶
iitn	乷
ywun	乻
iygn	乼
fjfn	乾
exin	乿
qjjn	亀
oqan	亃
cnhj	予
qvhj	争
guvh	亊
gkvh	事
gxgd	互
gghg	五
gjgf	亘
gogd	亚
hxff	些
bkcg	亟
ywru	交
yntw	亥
ykbj	亨
yoyu	亪
ykbf	享
ykiu	京
ykps	亭
ykpw	亮
ykjf	亯
yjiu	亰
ykpa	亳
yrve	亵
ylkg	亶
utvo	亷
ykbl	亸
yemg	亹
wwww	人
wynb	今
wtan	仛
wvyy	仞
wtfh	仟
wtnn	仡
wayy	代
wycu	令
nywy	以
hgwu	仧
wyry	仪
wtcy	仫
wrcy	仮
wqbh	仰
wkhh	仲
wxxn	仳
wtgh	件
wwjh	价
wdhh	仹
wtfg	任
wwvt	份
wgxg	仾
wcnh	伃
wxhh	伄
wywn	伉
wvtt	伊
wdbn	伌
wfcy	伎
wdyy	伏
wdhy	伓
wpwn	伔
wdcy	伖
wwwu	众
wdny	优
wfcu	会
wary	伛
wufj	伞
wfnh	伟
wfny	传
waht	伢
wmqn	伣
wtet	伤
wtay	伥
wwxn	伦
wwbn	伧
wqug	伨
wyty	伪
wpgg	伫
wvcy	伮
wnxn	伲
wugh	伴
wwyc	伶
wjhh	伸
wegg	伹
wngk	伺
wnyw	似
wekg	伽
wdhg	伾
whnn	佀
wckg	佁
wghg	佂
wafg	佄
wfiy	佅
wjgg	但
whcy	佊
wvkg	佋
whxn	佌
wqay	低
wygg	住
wdag	佐
wdkg	佑
wsgg	体
wskg	何
wntt	佖
wpxn	佗
wgsu	余
wrwy	佚
wxjh	佛
wthf	作
wqkg	佝
wfvg	佞
wtuy	佟
wqiy	你
wwmh	佡
wang	佢
wehh	佣
wgny	佤
wgig	佥
whgh	佧
wqnn	佨
wwgh	佩
wftx	佬
wdjg	佰
wfhf	佱
wffg	佳
wfkg	佶
wvey	佷
wqdb	佹
wywr	佼
wuqw	佽
wgkr	使
wgaj	侀
wtfq	侁
wkkn	侃
wgcf	侄
wynw	侅
wgxw	侇
wqqy	侈
wdfn	侉
wgqj	例
wync	侌
wffy	侍
wriy	侏
wdeg	侑
wpvg	侒
wvgh	侓
wctg	侔
wdmj	侕
wmgk	侗
wpta	侘
waay	侙
wawy	供
wtey	侜
wyey	依
wdhb	侟
wgud	侠
wkkg	侣
watq	侥
whmy	侦
wmjh	侧
wtdj	侨
wwfc	侩
wyjh	侪
wynv	侫
wpey	侬
wtxy	侮
wntd	侯
wvtk	侰
wdfe	侲
wvpc	侵
wmwn	侺
wukq	侻
wfpb	侼
wlet	侽
wftb	侾
wgjr	便
wevg	俀
wkhy	促
wtry	俄
wgiy	俅
wwgs	俆
wqtg	俇
wtfk	俈
wcwt	俊
wkcn	俋
wweg	俎
wieg	俏
wtjh	俐
wceh	俑
wpfq	俒
wpsy	俕
wwwk	俗
webg	俘
wrdh	俙
wjfg	俚
wqkq	俛
wmgn	俜
wksy	保
wgej	俞
wctd	俟
wkgd	俣
wuxt	俤
wdtf	俦
wgod	俨
wgmw	俩
wwgg	俭
whte	修
wowf	俯
whwy	俱
wywe	俲
whdd	俳
